f0,protected
-0.4984,0.2478
-0.505,0.2535
-0.4942,0.2511
-0.4949,0.2563
-0.5046,0.2521
-0.4945,0.2509
-0.4959,0.2441
-0.4924,0.2465
-0.4981,0.2516
-0.4979,0.2472
-0.5026,0.2525
-0.4972,0.2496
-0.5044,0.2593
-0.4952,0.2416
-0.5001,0.2469
-0.5063,0.2548
-0.499,0.2499
-0.4922,0.2457
-0.5002,0.2486
-0.499,0.2521
-0.5021,0.2545
-0.5025,0.2487
-0.5097,0.2562
-0.499,0.2534
-0.4953,0.25
-0.4973,0.2444
-0.5043,0.2536
-0.4959,0.2534
-0.5051,0.2469
-0.4893,0.2449
-0.5019,0.2529
-0.4968,0.252
-0.4997,0.2533
-0.501,0.2493
-0.4972,0.2426
-0.4998,0.249
-0.5018,0.2525
-0.5017,0.2485
-0.4955,0.2446
-0.5051,0.257
-0.5056,0.2514
-0.5005,0.2527
-0.4909,0.2431
-0.5015,0.2439
-0.4955,0.2466
-0.4957,0.2457
-0.5065,0.2468
-0.5079,0.2553
-0.5088,0.2541
-0.5005,0.2486
-0.5067,0.2565
-0.5008,0.2494
-0.4975,0.2549
-0.4984,0.2481
-0.5133,0.2565
-0.5022,0.2505
-0.5032,0.2503
-0.4945,0.2546
-0.5031,0.2547
-0.5091,0.2551
-0.4946,0.2441
-0.501,0.2528
-0.5069,0.2513
-0.5026,0.2488
-0.5061,0.2501
-0.5041,0.2493
-0.5004,0.2478
-0.4912,0.2438
-0.4982,0.2555
-0.5019,0.2442
-0.4929,0.2534
-0.493,0.2473
-0.4991,0.2566
-0.5024,0.2483
-0.5057,0.255
-0.4941,0.2457
-0.5019,0.2496
-0.4955,0.2493
-0.5011,0.2534
-0.5008,0.2516
-0.5006,0.2497
-0.508,0.2529
-0.5045,0.2515
-0.5011,0.2491
-0.5011,0.2494
-0.4986,0.2492
-0.502,0.2553
-0.5025,0.2559
-0.5015,0.2466
-0.502,0.2521
-0.5034,0.2533
-0.4934,0.2457
-0.4901,0.247
-0.4924,0.2428
-0.5023,0.2547
-0.5048,0.2497
-0.4955,0.2484
-0.4989,0.251
-0.4991,0.2523
-0.5051,0.2501
