f0,protected
0.5068,0.244
0.5079,0.2551
0.498,0.2536
0.4999,0.2468
0.5038,0.2545
0.5019,0.2555
0.5023,0.2569
0.4947,0.2473
0.5064,0.2584
0.4974,0.245
0.5019,0.2556
0.5024,0.2505
0.4942,0.2481
0.4995,0.2536
0.4952,0.2461
0.5074,0.2489
0.4964,0.2473
0.4942,0.2445
0.5006,0.2525
0.505,0.2457
0.4965,0.2439
0.4937,0.2504
0.5027,0.2515
0.4991,0.2514
0.5028,0.2504
0.5003,0.2486
0.4975,0.2425
0.4971,0.2444
0.5002,0.2442
0.5023,0.2558
0.4905,0.2381
0.4957,0.2457
0.4992,0.2419
0.4956,0.2459
0.5008,0.2514
0.492,0.24
0.4871,0.239
0.5048,0.2575
0.5094,0.2567
0.506,0.2509
0.4963,0.2535
0.5023,0.2542
0.5013,0.2515
0.4912,0.246
0.499,0.2514
0.5061,0.2586
0.4998,0.2487
0.5008,0.2514
0.5048,0.2558
0.4926,0.2466
0.5073,0.2487
0.5006,0.25
0.4943,0.2454
0.4948,0.249
0.4938,0.2474
0.5053,0.2496
0.5102,0.2533
0.5077,0.2578
0.5019,0.256
0.5007,0.2498
0.5009,0.2507
0.5004,0.2458
0.5058,0.255
0.4988,0.2495
0.5035,0.254
0.4935,0.2527
0.5028,0.2525
0.5077,0.2558
0.5053,0.2502
0.4993,0.2457
0.5003,0.2474
0.4936,0.2433
0.5063,0.255
0.4991,0.2522
0.4966,0.2463
0.4948,0.2475
0.5055,0.2519
0.4932,0.2433
0.5087,0.2561
0.5059,0.2477
0.5028,0.2485
0.4979,0.2461
0.5026,0.2497
0.4986,0.2537
0.5043,0.2589
0.5073,0.2621
0.5024,0.257
0.4896,0.243
0.4896,0.2427
0.5092,0.2564
0.5014,0.2519
0.5019,0.2514
0.4974,0.2455
0.4897,0.2414
0.4993,0.2568
0.5041,0.2519
0.4965,0.2444
0.4998,0.2519
0.496,0.2429
0.504,0.2506
