f0,protected
-0.4989,0.2489
-0.4956,0.2505
-0.5079,0.2544
-0.4861,0.2421
-0.5114,0.2582
-0.4993,0.2483
-0.505,0.2554
-0.4963,0.2511
-0.5017,0.2439
-0.5064,0.2572
-0.4965,0.2509
-0.4953,0.2393
-0.5092,0.248
-0.4935,0.2477
-0.4973,0.2503
-0.5001,0.2542
-0.4966,0.2411
-0.5045,0.2465
-0.4851,0.2486
-0.4999,0.2495
-0.5048,0.2555
-0.4975,0.2481
-0.4995,0.2542
-0.4972,0.252
-0.5093,0.2573
-0.494,0.2461
-0.5015,0.2537
-0.4885,0.2444
-0.4961,0.251
-0.5021,0.2521
-0.5059,0.2503
-0.4965,0.2445
-0.5008,0.252
-0.4927,0.2406
-0.4995,0.2479
-0.4963,0.2395
-0.5055,0.2564
-0.4873,0.2432
-0.4945,0.2406
-0.49,0.2441
-0.503,0.2508
-0.499,0.2474
-0.4991,0.2463
-0.4994,0.2517
-0.4967,0.2481
-0.5014,0.2416
-0.4982,0.2472
-0.5015,0.2527
-0.495,0.2495
-0.5042,0.2538
-0.4935,0.2488
-0.4932,0.2426
-0.4938,0.2424
-0.4984,0.249
-0.498,0.2473
-0.5061,0.2562
-0.5033,0.2527
-0.4981,0.2489
-0.5032,0.2532
-0.4997,0.2504
-0.5021,0.2502
-0.4925,0.2442
-0.4951,0.2453
-0.497,0.2504
-0.5009,0.2553
-0.5077,0.2587
-0.4945,0.2461
-0.49,0.2469
-0.503,0.2479
-0.5017,0.2553
-0.493,0.2462
-0.5066,0.2529
-0.4979,0.2475
-0.4995,0.2566
-0.4886,0.2475
-0.5028,0.2568
-0.5009,0.2547
-0.4957,0.2486
-0.5072,0.2523
-0.5026,0.2558
-0.4959,0.2496
-0.4952,0.2412
-0.4958,0.243
-0.5036,0.2482
-0.4961,0.2456
-0.4988,0.2455
-0.4943,0.2478
-0.4946,0.2448
-0.5115,0.2509
-0.5111,0.26
-0.5011,0.247
-0.4997,0.2476
-0.4939,0.2439
-0.5021,0.2535
-0.4979,0.2447
-0.5011,0.2489
-0.5057,0.2535
-0.4928,0.2439
-0.4972,0.2439
-0.4965,0.2476
