f0,f1,f2,protected
0.0,-0.1269,0.062,-0.1269
0.0,0.1297,0.1303,-0.2546
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0615,-0.1248,0.0
0.0,0.0,-0.0615,-0.0615
0.0,-0.2471,0.1205,-0.1215
0.0,0.0,0.0593,-0.12
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.1273,-0.0625,-0.1273
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.065,0.0,-0.065
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0663
0.4933,0.4917,0.3712,0.3674
0.4975,0.4423,0.4386,0.5096
0.0,0.0,0.0,0.0
0.0,0.0,-0.1221,0.0598
0.0,0.126,-0.2512,0.1283
0.0,-0.1303,0.0644,-0.1929
0.0,-0.0621,-0.0621,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.1254,0.0637,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-0.0599,0.0
0.0,-0.0659,0.0,0.0
0.0,-0.1943,-0.1305,-0.1297
0.0,0.0585,-0.1211,0.0
0.0,-0.0632,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.0622,-0.0622,-0.0622
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,-0.0657,-0.0657
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0616,-0.1217
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5009,0.4988,0.3761,0.3727
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.0633,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.1893,-0.2532,0.1287
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0625
0.0,-0.0627,0.0,-0.1211
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.4899,0.448,0.4417,0.4429
0.0,0.0,0.0,0.0
0.4985,0.4943,0.4364,-0.3804
0.4969,0.4967,0.4965,0.504
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
