f0,protected
0.504,0.252
0.5102,0.2619
0.4926,0.2549
0.5105,0.2489
0.5009,0.2471
0.5022,0.25
0.5,0.2521
0.5079,0.2529
0.5045,0.2486
0.4986,0.2474
0.4932,0.2455
0.495,0.2469
0.5092,0.2502
0.5072,0.2528
0.5035,0.2536
0.4994,0.2492
0.5044,0.2515
0.5007,0.2513
0.4979,0.249
0.5008,0.2518
0.4966,0.2542
0.5021,0.2491
0.5004,0.249
0.503,0.2515
0.502,0.2531
0.5053,0.2553
0.5091,0.2461
0.5024,0.2471
0.4937,0.2459
0.504,0.2576
0.5026,0.2463
0.4967,0.2481
0.5033,0.2539
0.5026,0.2544
0.4965,0.247
0.4958,0.2498
0.4995,0.2562
0.5081,0.2582
0.5066,0.2516
0.5044,0.2519
0.5021,0.2585
0.5019,0.2555
0.497,0.2576
0.5041,0.2517
0.5002,0.2603
0.5083,0.2537
0.508,0.2559
0.5007,0.2535
0.5035,0.2487
0.5022,0.2542
0.4978,0.2529
0.5,0.26
0.4892,0.2411
0.4856,0.2429
0.4962,0.2575
0.4989,0.2535
0.5042,0.2584
0.4987,0.2514
0.5053,0.2504
0.5033,0.2483
0.4998,0.2554
0.4973,0.2476
0.4961,0.2504
0.4988,0.2472
0.4984,0.2513
0.5021,0.2535
0.5013,0.2484
0.5078,0.2574
0.4987,0.2449
0.4899,0.2444
0.5022,0.2518
0.5071,0.2524
0.4968,0.2449
0.5046,0.252
0.4977,0.2532
0.4952,0.2441
0.5017,0.2485
0.4956,0.2458
0.5025,0.2512
0.4956,0.2446
0.5009,0.2544
0.4949,0.2396
0.5006,0.2513
0.4873,0.2427
0.5007,0.2491
0.4978,0.2475
0.5012,0.2437
0.5025,0.2513
0.5032,0.2505
0.5061,0.2542
0.4917,0.2461
0.501,0.2449
0.4948,0.2484
0.4992,0.2455
0.4934,0.2484
0.502,0.2519
0.4895,0.2455
0.5002,0.2523
0.5013,0.2504
0.5009,0.2521
