f0,f1,f2,protected
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0605,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.0607,0.1234,0.1234
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1234,0.0621,0.1234
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0658,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0636,0.0
0.0,0.0,0.1222,0.059
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.125,0.125,-0.0633
0.0,0.0603,0.0603,0.0
0.0,0.122,0.0,0.0644
0.0,0.0,0.0,0.0
-0.4988,-0.4997,-0.5039,0.4406
-0.5008,-0.5023,-0.5043,-0.5028
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1246,0.0625,0.0
0.0,0.0,0.0,0.0
0.0,0.0653,0.129,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1242,-0.0604,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0618,0.0,0.0618
0.0,0.0,0.0,0.0
-0.4981,-0.5009,-0.4329,-0.4962
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0617,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1833,-0.0595,-0.0621
0.0,0.0,0.0,0.0581
0.0,0.1322,-0.0659,0.1963
0.0,0.0634,0.0634,0.0
0.0,0.122,0.0616,0.122
0.0,0.0635,0.0,0.0
0.0,-0.0642,0.1264,0.0
0.0,0.0,0.0,0.0
0.0,0.1247,-0.062,0.1247
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.063,0.063,0.0
0.0,0.0651,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0597,0.0597
-0.5023,-0.4393,-0.5061,-0.5071
0.0,0.0,0.0608,0.1213
0.0,0.1233,0.0606,0.1233
0.0,0.0584,0.0584,0.0
0.0,0.0,0.0,0.0
0.0,0.1185,0.0,0.0575
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.504,-0.4982,-0.496,-0.5057
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0599,0.0599
-0.4994,0.3148,-0.4308,-0.4331
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5029,0.4292,-0.505,-0.5024
0.0,0.0649,0.0,0.0
0.0,0.0649,0.0649,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.495,-0.5082,0.3736,-0.444
0.0,0.1229,0.0617,0.1229
