f0,f1,f2,protected
0.0,0.0,0.0,0.0
0.3108,-0.1917,-0.1881,0.4403
-0.3719,-0.3702,-0.2457,-0.3737
-0.1281,-0.1903,0.0599,0.0
0.2459,0.2476,0.4965,0.2455
-0.3162,0.0653,0.1241,-0.2556
-0.3123,-0.3137,0.1871,-0.4412
0.1209,-0.2482,-0.307,0.062
0.3822,-0.1299,0.1936,-0.1264
0.3102,-0.0598,-0.1835,0.3094
-0.1835,0.3665,-0.1186,0.2474
0.2503,0.2585,0.2541,0.5069
0.1264,-0.1264,-0.2528,0.0
-0.3762,0.1273,0.2531,-0.3842
0.0,0.1307,0.0,0.0656
-0.3751,-0.3791,-0.3708,-0.2451
0.1211,0.1853,-0.3119,-0.3725
0.1295,0.2511,-0.3759,-0.3863
0.254,-0.5053,0.2537,0.2505
0.4944,-0.3117,0.3802,0.4463
0.2539,-0.5016,0.315,-0.3696
-0.3745,0.1869,-0.2436,0.1204
0.0,0.0,0.0,0.0
-0.3113,-0.2475,0.1257,-0.3707
0.2447,0.1891,0.3087,0.183
0.2513,0.506,0.2533,0.2505
0.2514,0.4998,0.2476,0.2515
-0.0662,0.0,-0.1263,0.0
-0.1777,0.3097,-0.1203,0.3683
-0.3063,0.3808,0.5001,0.4458
0.0,0.2497,0.1249,0.1248
0.3763,-0.129,-0.125,0.2461
-0.4981,-0.4386,0.3103,-0.4265
0.4943,-0.246,0.2468,0.2506
0.317,-0.1272,-0.1262,0.2564
0.2517,0.503,0.2526,0.2525
0.1286,0.0,0.0,-0.0637
-0.2446,0.1851,-0.2494,0.0
0.2536,0.2501,0.5032,0.259
0.0,-0.062,-0.062,0.0
0.0,0.0599,0.0599,0.0
-0.3181,-0.3197,-0.5053,0.2492
-0.3119,0.1241,-0.1862,0.0642
0.1275,0.0,0.0598,0.1275
-0.2553,0.4459,0.3862,-0.1892
0.3208,-0.0643,0.3129,0.317
0.376,0.3788,0.2438,-0.1277
-0.3748,-0.252,0.1315,0.1856
0.1885,0.3717,-0.1218,0.2445
-0.5049,0.31,-0.4317,0.3147
0.1882,0.1901,0.1891,-0.4362
0.367,0.4953,-0.316,0.3746
0.3763,0.3761,-0.1311,0.2425
-0.1894,-0.1261,-0.127,-0.1894
-0.1911,0.4394,0.3806,0.319
0.0622,0.0609,-0.1829,-0.1829
-0.0603,0.0,-0.0603,0.0
0.0,0.0,0.0,0.0
0.0,-0.0629,-0.0644,0.1874
0.2498,-0.4964,0.2526,0.2489
0.1901,0.1217,0.1308,-0.3801
0.368,0.2543,0.3176,0.3104
-0.4303,-0.5025,0.3071,-0.3688
0.2548,0.5044,0.2487,0.2552
-0.1207,0.1234,0.0,0.2499
-0.3107,-0.3159,-0.4977,0.2442
0.0615,0.0615,0.0615,0.0615
-0.5019,0.2462,-0.3186,-0.3093
0.4474,-0.197,0.3252,0.3209
-0.383,-0.2606,0.1916,-0.2543
0.1188,-0.3721,0.2487,-0.3716
-0.2495,0.3154,0.4992,0.3737
-0.3748,-0.371,-0.4391,-0.5024
-0.3102,-0.3143,-0.4999,0.245
0.0,0.0621,0.1262,0.1262
0.242,-0.4924,-0.2448,-0.2497
-0.3089,0.0629,-0.3086,0.1823
0.1889,-0.1232,0.3703,-0.1197
0.0,0.0,-0.0596,-0.0596
0.3644,0.4948,-0.3081,-0.2508
0.0,0.2427,0.1221,0.1264
-0.257,0.1273,-0.1898,-0.3794
0.1865,0.1247,0.1275,-0.3719
0.5019,0.4361,0.3766,0.3763
0.0,-0.2488,-0.1859,-0.187
-0.3688,0.3122,0.2551,-0.496
0.0,0.0,0.0,-0.0589
0.4374,0.4962,0.5087,0.4939
0.1246,0.1246,0.0,0.0615
-0.1282,0.0,0.2495,0.1292
0.4333,-0.2463,0.372,0.4312
0.4942,-0.2512,-0.2455,0.3083
0.2519,-0.1256,0.3689,0.3766
-0.1888,0.3749,0.3106,0.4345
-0.3175,-0.2447,-0.3105,-0.3778
0.1871,0.1868,-0.2434,-0.4344
0.2547,-0.2534,0.2561,0.5087
-0.3091,-0.2505,0.1233,0.1237
-0.3155,-0.3178,-0.439,0.184
-0.261,0.5047,-0.2508,0.3133
