f0,protected
-0.4896,0.2436
-0.5041,0.2536
-0.4928,0.2474
-0.4967,0.2522
-0.5026,0.2445
-0.2427,0.0
-0.5032,0.2531
-0.5024,0.2495
-0.5042,0.2463
-0.5,0.2478
-0.5039,0.2518
-0.5046,0.2462
-0.4998,0.2549
-0.2464,0.0
-0.5063,0.2535
-0.4968,0.2478
-0.5027,0.2542
-0.5019,0.2538
-0.5024,0.2516
-0.5064,0.2487
-0.5048,0.2483
-0.4944,0.2456
-0.5049,0.249
-0.494,0.2443
-0.4953,0.2481
-0.5035,0.2584
-0.4951,0.2482
-0.5098,0.2512
-0.5049,0.2583
-0.5091,0.2567
-0.5079,0.2507
-0.5049,0.256
-0.4995,0.2547
-0.4965,0.2504
-0.4991,0.2477
-0.499,0.2513
-0.5038,0.2456
-0.5043,0.2564
-0.4987,0.2476
-0.2521,0.0
-0.5079,0.2586
-0.4983,0.2516
-0.5035,0.2466
-0.2418,0.0
-0.4998,0.2556
-0.4999,0.2533
-0.5002,0.2501
-0.4946,0.2486
-0.4885,0.2478
-0.4947,0.2465
-0.5013,0.2459
-0.5029,0.2544
-0.25,0.0
-0.4967,0.2493
-0.499,0.2544
-0.5011,0.2519
-0.5026,0.2467
-0.2506,0.0
-0.4884,0.2451
-0.5028,0.2489
-0.252,0.0
-0.4995,0.2499
-0.4934,0.2487
-0.4928,0.2478
-0.4926,0.2473
-0.4956,0.2503
-0.5008,0.2487
-0.499,0.2475
-0.5086,0.2471
-0.5012,0.251
-0.5003,0.2534
-0.5036,0.2582
-0.5008,0.2417
-0.5013,0.2511
-0.4979,0.2484
-0.5007,0.2494
-0.5008,0.2484
-0.5045,0.2546
-0.4978,0.249
-0.4923,0.2487
-0.5024,0.2491
-0.5055,0.2537
-0.5005,0.2521
-0.5089,0.2518
-0.4973,0.2528
-0.5028,0.2543
-0.5038,0.2485
-0.4969,0.2439
-0.4942,0.2486
-0.495,0.243
-0.4904,0.2518
-0.4985,0.2449
-0.4981,0.2504
-0.495,0.2414
-0.5047,0.2497
-0.5036,0.2468
-0.498,0.245
-0.5046,0.2495
-0.4946,0.2419
-0.4912,0.2475
