f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,protected
0.0,-0.059,-0.0903,0.1208,0.1194,-0.0828,0.1041,0.1207,0.1533,-0.0928,-0.065,0.1024,-0.0688,-0.0831,-0.082,0.1032
0.0,0.0374,-0.0218,0.0335,-0.0126,-0.0268,0.0346,-0.0272,-0.0158,0.0464,-0.0022,-0.0092,-0.0165,0.0299,0.0396,-0.0237
0.0,-0.0259,0.0433,-0.026,-0.0337,-0.0382,0.0384,0.0565,-0.0314,-0.0239,-0.0294,0.0484,-0.007,-0.0354,0.0652,-0.0072
0.0,-0.0595,-0.0928,0.1335,0.1088,-0.0613,0.1467,-0.0559,-0.0846,0.1002,0.1024,0.1124,0.1031,-0.0897,0.1069,-0.0844
0.0,-0.0011,-0.0091,-0.0101,-0.0023,0.0,-0.0019,0.0107,0.0125,0.0104,0.0127,0.0112,0.0199,-0.0067,-0.0085,0.0113
0.0,0.0788,-0.0454,0.0954,-0.0344,-0.0512,-0.0605,-0.0268,0.1086,0.0682,-0.0478,0.0688,0.0885,-0.0568,0.0752,-0.0612
-0.5079,0.4026,-0.4616,0.4003,-0.4441,0.3954,0.3929,0.3967,-0.4088,0.4132,-0.4403,-0.429,-0.428,-0.4628,-0.4397,0.4011
0.0,-0.069,0.1083,-0.0795,0.1044,0.121,0.1195,0.1233,0.0968,-0.083,0.1425,0.1092,0.1197,-0.0524,-0.0904,-0.0705
0.0,-0.0296,0.0661,-0.0363,0.0548,0.0529,-0.015,-0.0294,0.0428,-0.0349,-0.0108,-0.0211,-0.0228,0.0425,-0.02,0.0421
0.0,-0.0098,0.0314,0.0381,0.0336,-0.0155,0.0305,-0.0171,-0.0141,0.0392,-0.0214,-0.0131,-0.0135,-0.0096,0.0257,0.0268
-0.5036,0.3701,0.3596,-0.4052,-0.4104,-0.4026,-0.4341,-0.4023,-0.4169,-0.4301,0.3786,0.3489,0.3548,-0.4117,0.3578,-0.4087
0.0,0.0209,0.0215,-0.0197,-0.0017,0.021,0.0332,-0.0167,-0.0107,0.0303,0.0236,0.0311,-0.0065,0.0222,0.0342,0.0284
0.0,-0.0432,-0.0231,-0.0308,-0.0153,-0.0493,-0.0407,0.0713,0.0513,0.0663,-0.04,0.0645,0.0594,-0.0321,-0.0461,0.0856
-0.4945,-0.4901,0.4487,-0.4701,-0.467,-0.4627,-0.4841,0.4521,-0.4716,0.4369,0.4445,-0.4696,-0.4697,-0.4761,-0.471,-0.4724
0.0,0.0,0.0207,-0.0068,-0.0031,-0.0112,0.0133,0.0152,0.0203,-0.0095,-0.0099,-0.0029,-0.0077,0.017,-0.006,0.0173
0.0,0.0919,0.0884,0.0918,-0.0493,0.0957,0.1248,0.1147,-0.0728,0.0911,0.1185,0.1079,-0.0814,0.1213,-0.0654,-0.0538
-0.4971,0.3969,-0.4117,-0.438,-0.4354,-0.4199,0.3904,0.3734,-0.4356,-0.4204,-0.4171,-0.4509,0.3935,-0.4345,-0.4593,-0.4257
0.0,-0.0033,0.0123,-0.0083,0.0128,-0.0029,-0.0065,0.0185,0.0097,0.0136,-0.0044,-0.0049,-0.006,-0.0038,0.0154,0.0159
-0.4946,0.3902,0.4305,0.3948,-0.4731,-0.4558,-0.4507,-0.4515,0.4132,-0.4451,0.4178,-0.4352,-0.4519,-0.4434,-0.4406,0.393
-0.4942,-0.4906,0.4486,-0.4676,-0.4744,0.4406,-0.4827,0.4489,-0.4741,0.4448,0.4546,0.4474,-0.4705,-0.4803,0.4582,0.4592
-0.4981,-0.4227,-0.4447,-0.4612,0.4133,0.3969,-0.4435,0.3867,-0.4471,-0.4376,0.4052,0.4147,-0.4585,-0.4471,0.3951,0.4012
0.0,-0.0069,-0.02,0.0568,0.0505,0.0468,0.0477,-0.0168,-0.0242,-0.0241,0.042,0.0343,-0.0201,-0.0279,0.0337,-0.0244
0.0,0.0019,-0.0006,-0.0005,-0.0003,-0.001,0.0014,0.002,0.0,0.0018,0.0,0.0022,-0.0002,0.0,-0.0006,-0.0005
0.0,-0.0508,0.0679,0.0871,0.0847,-0.0537,0.0974,-0.0589,-0.0165,0.0797,-0.0421,-0.0603,0.0676,0.0667,0.0644,-0.0297
0.0,0.046,-0.0412,0.0471,0.0562,-0.0243,0.0424,-0.0385,-0.0388,-0.0049,0.0632,-0.0181,0.0509,-0.015,-0.0408,-0.0354
0.0,-0.0168,-0.0221,-0.0141,-0.007,0.0223,-0.0124,0.0259,-0.0063,0.0387,0.023,0.0454,-0.0245,0.0319,-0.0206,-0.0174
0.0,0.0423,0.0583,0.043,-0.0079,0.0387,-0.0241,-0.0287,0.0385,0.0539,-0.0271,-0.0135,-0.0243,0.0426,0.0433,-0.0312
0.0,0.0223,0.0149,0.0243,0.0171,-0.0038,0.0176,-0.0121,-0.0017,-0.0055,0.0199,0.0156,-0.0065,-0.0091,-0.0123,0.0129
-0.5028,-0.3992,0.3487,0.3544,-0.3664,0.3492,0.3435,-0.4244,0.3598,0.359,0.3305,0.3449,-0.375,0.3365,-0.4071,0.3549
0.0,-0.0866,-0.0847,0.103,0.1188,0.1642,-0.0883,-0.0631,-0.0864,-0.0762,-0.0716,-0.0763,-0.072,-0.0829,0.1203,0.0962
-0.499,0.4692,0.4647,-0.49,-0.4765,-0.4862,0.4641,-0.5022,-0.4796,0.455,-0.4766,-0.4633,0.4685,0.4578,-0.4995,0.4664
0.0,-0.0187,-0.0202,0.0409,0.0357,0.0278,-0.0109,-0.0083,0.0249,-0.0152,-0.0172,-0.0127,-0.0216,-0.0049,-0.0114,0.0289
0.0,0.0243,-0.0034,-0.0055,-0.0055,0.0194,-0.015,-0.0121,-0.0054,0.0335,0.0232,-0.0113,-0.0155,0.0208,0.0237,-0.0162
-0.501,-0.4346,-0.4396,0.3892,-0.4165,-0.4247,0.4008,-0.4258,-0.4334,0.3938,-0.4846,-0.4179,0.38,0.4064,-0.4228,0.4135
0.0,0.0166,-0.0017,-0.0136,-0.0032,-0.0067,0.0206,-0.0137,-0.0112,0.0287,0.0168,0.0258,0.0216,0.0161,-0.0048,-0.0108
