f0,protected
0.5129,0.5037
0.4952,0.2469
0.4986,0.5135
0.5028,0.4986
0.4957,0.25
0.5087,0.5001
0.0,0.0
0.0,-0.2516
0.494,0.4958
0.0,0.0
0.0,-0.2503
0.0,0.0
0.5009,0.5037
0.5013,0.2544
0.0,-0.2435
0.4985,0.2475
0.4946,0.2385
0.503,0.2486
0.5007,0.5001
0.4977,0.2454
0.0,-0.2479
0.5024,0.4953
0.5012,0.2442
0.0,-0.2482
0.4937,0.4931
0.493,0.5028
0.0,-0.255
0.5064,0.2534
0.0,0.0
0.0,-0.2408
0.4995,0.2521
0.0,0.0
0.5048,0.2601
0.0,-0.2514
0.4955,0.2578
0.0,0.0
0.0,0.0
0.0,-0.2417
0.5048,0.253
0.5049,0.2539
0.5049,0.502
0.5048,0.2461
0.5002,0.508
0.0,0.0
0.5002,0.2506
0.4958,0.4969
0.5003,0.2538
0.4955,0.2443
0.5079,0.2552
0.5009,0.2475
0.5029,0.4936
0.5058,0.2552
0.5076,0.2565
0.0,0.0
0.496,0.2474
0.0,-0.2513
0.0,0.0
0.0,-0.2423
0.0,0.0
0.4914,0.244
0.51,0.2577
0.4954,0.2443
0.0,0.0
0.5058,0.2518
0.0,-0.2489
0.0,-0.2554
0.0,-0.2427
0.4972,0.2482
0.5031,0.2505
0.4988,0.2552
0.4993,0.2531
0.4988,0.5052
0.5016,0.2519
0.4972,0.501
0.4999,0.2571
0.0,0.0
0.499,0.2514
0.4922,0.5038
0.5083,0.2538
0.498,0.496
0.4933,0.2399
0.0,0.0
0.5078,0.4994
0.0,0.0
0.0,-0.2484
0.0,-0.2391
0.0,-0.2507
0.5046,0.2505
0.0,-0.2532
0.5,0.2448
0.5009,0.5135
0.0,-0.2435
0.0,0.0
0.4979,0.2524
0.5046,0.2463
0.5023,0.4977
0.4954,0.2454
0.5039,0.2477
0.5028,0.2495
0.0,0.0
