protected,f0,f1,f2,accuracy,c
0.243,0.1229,0.2514,0.2593,0.5944,3
-0.2475,-0.252,-0.2478,-0.2505,0.6046,3
0.2571,0.1288,0.2565,0.248,0.6009,3
0.1255,0.0,0.1294,-0.1832,0.6028,3
0.2623,0.0,0.2554,0.2482,0.5951,3
0.2552,0.0,0.252,0.2509,0.6039,3
0.0,0.0,0.1251,0.125,0.6007,3
-0.2588,-0.0668,0.1969,-0.2556,0.5995,3
0.126,-0.1274,0.1941,-0.2506,0.5924,3
-0.255,-0.5054,-0.1282,-0.1282,0.5962,3
0.2474,0.0,0.2457,0.2469,0.6106,3
0.1834,0.0,0.1892,-0.2479,0.6066,3
0.2437,0.0,0.2468,0.2476,0.5926,3
0.2424,0.0,0.2357,0.2431,0.6021,3
0.2496,0.0,0.2439,0.2449,0.5972,3
0.1206,0.0,0.189,0.1316,0.6061,3
0.2478,0.0,0.2537,0.2483,0.5997,3
0.2461,0.0614,0.2474,0.2455,0.6002,3
0.2468,0.1294,0.2563,0.2514,0.6068,3
0.2531,0.0,0.2555,0.2564,0.6013,3
0.125,0.0,0.1257,0.1895,0.5971,3
0.0635,-0.5004,-0.1266,-0.1266,0.5961,3
0.2506,0.0649,0.2491,0.2564,0.6013,3
-0.2467,-0.187,0.1906,-0.2511,0.6023,3
0.1252,-0.2492,-0.2511,-0.1879,0.5915,3
0.2473,0.0,0.2526,0.2511,0.5949,3
0.254,0.0,0.2545,0.2532,0.5961,3
0.249,0.188,0.2542,0.2474,0.603,3
0.1879,0.0,0.1859,0.1835,0.5924,3
0.1274,-0.2511,-0.254,-0.1262,0.6044,3
0.2535,0.0,0.2545,0.2607,0.6014,3
0.2594,0.0,0.2523,0.2516,0.5933,3
0.2483,0.066,0.249,0.2521,0.5848,3
0.2478,0.1249,0.2525,0.259,0.5971,3
0.252,0.0622,0.251,0.2535,0.6038,3
0.2514,0.0,0.2564,0.2516,0.5964,3
0.1225,0.0,0.0583,0.1209,0.6041,3
0.1229,-0.2563,-0.1833,-0.2489,0.5914,3
0.2458,0.0,0.2475,0.249,0.6027,3
0.1191,-0.0583,0.1303,-0.1936,0.5972,3
0.2477,0.0,0.2524,0.2423,0.5989,3
0.2486,0.0,0.2485,0.251,0.5949,3
0.2437,0.0,0.2529,0.2494,0.5963,3
-0.2493,-0.3079,-0.1914,-0.2494,0.6009,3
0.1301,0.0,0.187,0.1233,0.6011,3
-0.2552,-0.1844,-0.2551,0.1899,0.595,3
0.126,-0.1958,-0.2514,-0.1907,0.6057,3
0.247,0.0,0.2528,0.2571,0.6031,3
0.2513,0.1283,0.2495,0.2563,0.5991,3
0.2531,0.0,0.2499,0.253,0.604,3
0.2513,0.0,0.2463,0.2459,0.5977,3
0.2456,0.0,0.2487,0.2519,0.6041,3
0.2463,0.0,0.2476,0.2473,0.6024,3
0.1308,-0.2457,0.1898,-0.2508,0.5903,3
0.2499,0.0644,0.2486,0.2481,0.5905,3
0.248,0.2492,0.2544,0.2487,0.6045,3
0.1866,0.0,0.1832,-0.2523,0.6032,3
0.2522,0.0,0.2466,0.2548,0.596,3
0.2478,0.123,0.2428,0.2436,0.6002,3
0.2562,0.0,0.2462,0.2471,0.6081,3
0.2615,0.0,0.257,0.2548,0.6056,3
0.0,-0.497,0.0,0.0,0.5989,3
0.2459,0.0659,0.2404,0.2452,0.5996,3
0.2533,0.0635,0.2474,0.2455,0.5988,3
0.2499,0.0,0.2545,0.2496,0.6068,3
-0.2471,-0.2509,-0.2479,0.1906,0.6027,3
0.2518,0.0,0.2464,0.2571,0.5994,3
-0.064,-0.2499,-0.064,0.0,0.6014,3
0.1883,0.0,-0.2554,0.186,0.5952,3
0.2553,0.0,0.254,0.2584,0.6045,3
0.2523,0.0,0.2461,0.2462,0.609,3
-0.1882,-0.4349,0.0617,-0.1245,0.6002,3
0.2532,0.0,0.2533,0.25,0.6037,3
0.2434,0.0,0.249,0.2516,0.597,3
0.2504,0.0,0.2478,0.2495,0.6072,3
0.2451,0.0,0.2505,0.2512,0.5907,3
0.1907,-0.1238,-0.2497,0.1927,0.5951,3
0.257,0.0,0.2557,0.2463,0.6,3
0.2511,0.0,0.2449,0.2489,0.5963,3
0.1928,0.0,0.1859,-0.2524,0.6009,3
0.2505,0.2472,0.2564,0.251,0.5948,3
0.1918,0.0,-0.2556,0.1944,0.5957,3
0.2483,0.0,0.2555,0.2451,0.5931,3
-0.188,0.0,0.0629,0.1284,0.597,3
0.2475,0.2583,0.2456,0.2509,0.6016,3
0.2423,0.0,0.2381,0.244,0.6043,3
0.2492,0.0,0.2531,0.2539,0.5984,3
0.1861,0.0,-0.2528,0.1831,0.5933,3
0.2567,0.0,0.2583,0.2595,0.5974,3
0.2433,0.0,0.2514,0.2496,0.599,3
0.1861,-0.1853,-0.2458,-0.2498,0.6002,3
0.2552,0.0,0.2524,0.2561,0.5928,3
0.2498,0.0,0.2477,0.2415,0.5985,3
0.2515,0.0,0.2545,0.2527,0.6007,3
0.254,0.0621,0.2511,0.2477,0.6041,3
0.2526,0.0,0.2489,0.2459,0.5961,3
0.2564,0.0,0.2501,0.2569,0.5956,3
0.2575,0.0,0.2486,0.2549,0.5947,3
0.2498,0.0,0.2465,0.2448,0.5964,3
0.2432,0.0,0.2463,0.2509,0.6069,3
