protected,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,accuracy,c
-0.2089,-0.216,0.1821,-0.2234,0.1759,-0.2371,-0.2158,0.169,0.1917,0.1917,-0.2334,0.5402,10
0.0712,-0.2994,-0.0969,0.0704,0.0595,0.0039,-0.0979,-0.0989,-0.0995,-0.0997,-0.1069,0.5527,10
0.1396,-0.1996,0.1277,-0.1598,-0.1484,-0.1896,0.109,0.0892,0.1169,-0.1805,-0.1675,0.5494,10
-0.2328,-0.366,0.1744,-0.2096,0.1784,-0.1861,-0.1872,-0.2147,0.1755,0.1628,0.1433,0.5453,10
0.1591,0.0,0.1674,-0.2081,0.1915,0.2012,0.1992,-0.2048,0.2002,-0.2162,-0.2065,0.5559,10
0.1936,-0.0082,0.1915,-0.2115,-0.2,-0.2135,0.2054,-0.2166,0.1913,0.197,-0.2023,0.5517,10
-0.1603,-0.1356,0.1571,-0.1648,-0.1746,0.1324,0.1523,-0.176,0.1323,0.147,-0.2395,0.5522,10
-0.1708,-0.0508,-0.2174,-0.1779,0.1524,0.1497,0.1608,0.1325,-0.1639,-0.1686,0.1381,0.5539,10
0.118,-0.2531,-0.1448,-0.2439,0.1422,0.1459,0.12,0.1357,-0.1579,-0.1541,0.1306,0.5451,10
-0.1768,-0.1783,0.1607,0.0777,-0.1774,-0.1755,-0.1892,0.1333,0.1434,0.1509,-0.1826,0.5452,10
-0.2387,-0.3047,0.1702,0.1836,-0.2024,-0.2133,0.1952,0.1853,-0.2268,-0.2176,-0.2363,0.5515,10
0.0941,-0.4342,-0.1214,0.0627,0.062,-0.121,-0.0925,0.088,0.0906,-0.0926,-0.1693,0.5456,10
-0.2327,-0.2029,-0.2493,0.2087,-0.2251,0.2071,0.2065,0.2163,-0.2329,-0.2302,-0.2365,0.5451,10
0.0319,-0.1549,0.1001,-0.1105,0.0965,0.1004,0.0756,-0.1433,-0.1245,-0.1323,0.0661,0.5484,10
0.1389,-0.1473,-0.1741,-0.1673,-0.1579,0.1247,0.1427,0.0868,-0.1523,-0.1574,0.0832,0.5507,10
0.1127,-0.2008,0.0786,0.0861,0.0991,0.0728,-0.1258,-0.1183,-0.1415,-0.181,-0.1527,0.5456,10
-0.2208,-0.3412,-0.2279,-0.2119,0.2056,0.1852,0.2049,-0.2084,-0.2421,-0.2224,-0.2474,0.5546,10
-0.2447,-0.0203,0.231,-0.2411,0.2366,-0.2521,-0.2408,-0.2495,-0.2474,0.2317,0.2377,0.5452,10
0.2257,-0.1343,-0.2481,-0.2241,-0.2481,0.2258,-0.2459,0.2072,0.2132,-0.2335,0.2158,0.5428,10
-0.1691,-0.0922,0.0816,0.0981,0.0599,0.0752,0.1091,-0.1158,0.0863,0.0696,-0.1189,0.5463,10
-0.1589,-0.3147,-0.1227,-0.1633,-0.161,0.0713,0.0632,-0.1212,-0.1248,0.1201,0.113,0.5505,10
0.1599,-0.2412,0.16,0.1481,-0.1792,0.1492,0.16,-0.1844,-0.2247,-0.2251,0.1661,0.5546,10
-0.1381,-0.2413,0.1234,0.0965,-0.1321,-0.1367,0.0222,-0.1302,-0.1483,-0.1306,0.12,0.5427,10
-0.2076,-0.096,0.1225,0.1256,-0.2054,0.1272,0.1552,0.1535,0.1585,0.155,0.1246,0.5449,10
-0.1812,-0.1834,0.1267,-0.1764,0.1118,0.1154,0.1171,0.0852,-0.1478,0.1131,-0.1741,0.5548,10
-0.1362,-0.3062,0.1207,0.1119,0.1063,0.1136,-0.2076,0.1207,-0.1546,-0.172,-0.168,0.5522,10
-0.1821,-0.1918,0.1558,0.1181,0.1474,-0.2026,-0.1685,0.1438,-0.1871,0.0944,-0.1934,0.5523,10
-0.1805,-0.3464,-0.1918,-0.2003,-0.1834,-0.1647,-0.1868,0.1121,0.138,-0.2034,0.1402,0.5542,10
-0.1916,-0.2473,-0.1938,0.1402,0.1593,-0.2053,0.1695,-0.1855,-0.1849,0.1453,-0.2393,0.5509,10
0.177,-0.1554,-0.2436,-0.2163,-0.2134,-0.2161,0.1847,0.2057,-0.2122,-0.2328,-0.2299,0.5552,10
0.128,-0.1185,-0.1713,0.1339,0.0914,0.1203,-0.1538,0.1025,-0.1843,0.1348,-0.1852,0.5467,10
0.1517,-0.0694,-0.2106,0.1667,-0.1804,-0.2209,0.1673,0.1714,-0.1869,-0.2091,0.1431,0.5416,10
-0.1167,-0.1341,0.0947,0.0848,-0.1575,-0.1362,0.1166,0.1146,-0.1365,-0.1227,0.0371,0.5551,10
0.1297,-0.1594,-0.2287,0.1606,-0.1725,0.1569,-0.17,-0.2189,0.1649,0.1655,0.1382,0.5586,10
-0.2378,-0.2419,-0.2257,0.1849,0.1833,-0.2284,0.1724,-0.2013,0.1875,0.1736,-0.226,0.548,10
0.0905,-0.0548,-0.1101,0.0708,-0.134,0.0921,0.0485,0.0499,0.0538,0.0892,-0.0972,0.5508,10
0.163,-0.2643,0.1605,-0.1929,0.1576,-0.1768,-0.1897,0.1094,-0.1862,-0.2329,0.1637,0.5477,10
-0.1488,-0.0747,0.1444,0.1322,-0.1624,-0.1453,0.0492,-0.159,-0.1451,0.1252,0.1163,0.553,10
-0.1516,-0.3257,0.1281,0.1304,-0.1501,0.106,-0.1572,0.1016,0.1219,-0.2161,-0.1724,0.5471,10
0.1901,-0.0676,-0.2179,-0.2053,0.1475,-0.2022,-0.2271,0.1607,-0.2031,0.1898,-0.204,0.558,10
0.2033,-0.038,-0.2271,-0.2223,0.2018,-0.2432,0.2063,0.2115,-0.2559,-0.227,0.2077,0.5589,10
-0.1049,-0.3982,-0.1298,-0.1114,0.0965,0.0926,0.0348,-0.1012,-0.145,-0.1347,0.0739,0.5519,10
-0.2035,-0.4259,-0.1946,0.1241,0.1585,-0.2197,-0.184,-0.1888,0.1449,-0.162,0.1585,0.5496,10
0.1532,-0.2532,-0.1751,0.126,-0.1633,-0.2201,-0.196,-0.1842,0.1243,0.1393,0.1476,0.5462,10
0.1756,-0.1417,-0.1815,0.1439,0.1584,-0.2328,0.1627,-0.1934,-0.1943,-0.1796,-0.2105,0.5463,10
-0.1442,-0.0022,0.1399,0.1261,-0.1526,-0.1678,0.1403,0.1393,0.1362,-0.1647,0.1406,0.543,10
0.1433,-0.2662,0.1502,0.1585,-0.1825,-0.2316,0.1565,-0.1742,0.1545,-0.1993,-0.2004,0.5506,10
0.169,-0.237,-0.2112,-0.1972,-0.1899,0.1486,-0.1891,-0.2301,0.1297,-0.2005,-0.1882,0.5452,10
0.2442,0.0434,0.2495,0.2444,0.2471,0.25,0.2445,0.2554,0.2529,0.2494,0.2444,0.5468,10
-0.1783,-0.1845,-0.1536,0.1267,-0.2137,0.1406,0.1474,0.1366,0.1097,0.1111,-0.164,0.5551,10
-0.1604,-0.1656,0.0982,0.1065,-0.2009,-0.1889,-0.1655,-0.1612,0.1384,-0.1482,0.129,0.5468,10
0.2073,-0.2904,-0.2183,-0.2386,-0.2225,0.1927,-0.2276,-0.227,-0.2529,-0.2273,0.1958,0.553,10
