protected,f0,f1,f2,accuracy,c
0.2511,0.0,0.26,0.2635,0.7004,3
0.2428,0.0,0.2487,0.2467,0.6994,3
0.2489,0.0,0.2537,0.2486,0.7061,3
0.259,0.0,0.2576,0.2551,0.6977,3
0.2568,0.0,0.2548,0.2557,0.7068,3
0.2511,0.0,0.2517,0.2478,0.6968,3
0.2463,0.0,0.2485,0.2467,0.7005,3
0.2445,0.0,0.2482,0.2461,0.6946,3
0.2458,0.0,0.2431,0.2459,0.701,3
0.2525,0.0632,0.2462,0.25,0.6959,3
0.2508,0.0,0.2528,0.256,0.7023,3
0.2475,0.0,0.252,0.254,0.6999,3
0.2499,0.0,0.2508,0.2463,0.6989,3
0.2438,0.0,0.2519,0.2511,0.7091,3
0.2493,0.0,0.2474,0.2506,0.7014,3
0.2483,0.0,0.2502,0.2509,0.6931,3
0.2511,0.0,0.2494,0.2481,0.7031,3
0.2463,0.0,0.2459,0.2507,0.7037,3
0.2514,0.0625,0.2546,0.2465,0.7039,3
0.2427,0.0,0.2498,0.253,0.7068,3
0.2481,0.0,0.2594,0.2529,0.6975,3
0.2431,0.0,0.2494,0.2499,0.7057,3
0.2485,0.0,0.2517,0.2521,0.6919,3
0.2452,0.0,0.2496,0.2433,0.7055,3
0.2412,0.0,0.2443,0.2449,0.6985,3
0.253,0.125,0.2545,0.2486,0.6984,3
0.2506,0.0,0.2472,0.254,0.7041,3
0.2547,0.0,0.2546,0.2522,0.6994,3
0.2502,0.0,0.2507,0.2528,0.7043,3
0.2576,0.0,0.2513,0.2513,0.7027,3
0.253,0.0,0.2493,0.2498,0.7041,3
0.2501,0.0,0.2493,0.2524,0.7012,3
0.2549,0.0,0.2511,0.2456,0.6953,3
0.2568,0.0,0.2514,0.2518,0.7016,3
0.2432,0.0,0.2475,0.2459,0.6997,3
0.2519,0.0,0.2553,0.2516,0.7014,3
0.2487,0.0,0.2497,0.2509,0.7011,3
0.2449,0.0,0.2529,0.2485,0.6979,3
0.2427,0.0,0.2428,0.2515,0.7031,3
0.2448,0.0,0.2479,0.2471,0.6946,3
0.2536,0.0,0.2533,0.2527,0.6944,3
0.2509,0.0,0.2525,0.2554,0.6952,3
0.2523,0.0,0.2489,0.2587,0.7055,3
0.2494,0.0637,0.2427,0.2497,0.7038,3
0.2456,0.0,0.2441,0.2477,0.7049,3
0.2451,0.0,0.2543,0.2579,0.7016,3
0.2524,0.0,0.252,0.2427,0.6995,3
0.2485,0.0,0.2426,0.2514,0.7035,3
0.2531,0.0,0.2507,0.2462,0.701,3
0.2502,0.0636,0.2522,0.2466,0.7039,3
0.2489,0.0,0.2519,0.2515,0.705,3
0.2554,0.0,0.2487,0.2552,0.7022,3
0.2488,0.0656,0.2573,0.2527,0.7005,3
0.256,0.0,0.251,0.2502,0.6975,3
0.2489,0.0,0.2434,0.2463,0.7025,3
0.2477,0.0,0.2565,0.2495,0.7029,3
0.2547,0.0,0.2523,0.2573,0.6965,3
0.2364,0.0,0.2421,0.2417,0.7073,3
0.2447,0.0,0.2386,0.2494,0.6935,3
0.2507,0.0,0.2498,0.2581,0.6968,3
0.2581,0.0,0.2569,0.2488,0.7076,3
0.2518,0.0,0.2516,0.2475,0.7026,3
0.2429,0.0,0.2442,0.2448,0.7057,3
0.2462,0.0,0.243,0.242,0.7055,3
0.2488,0.0,0.2459,0.2474,0.7031,3
0.2411,0.0,0.2502,0.2519,0.699,3
0.2492,0.0,0.2479,0.2503,0.7032,3
0.2457,0.0,0.2459,0.2467,0.6917,3
0.2579,0.0,0.2451,0.2477,0.7026,3
0.2498,0.0,0.2492,0.2508,0.7026,3
0.2507,0.0,0.2559,0.2508,0.6984,3
0.2393,0.0,0.2486,0.2484,0.7093,3
0.2511,0.0,0.2516,0.2508,0.6955,3
0.251,0.0,0.2493,0.2451,0.7,3
0.2473,0.0635,0.2527,0.2468,0.7,3
0.2501,0.0,0.2476,0.246,0.702,3
0.2483,0.0,0.2494,0.2508,0.6994,3
0.2555,0.0,0.2532,0.2619,0.7006,3
0.2474,0.0,0.2497,0.2487,0.6956,3
0.2465,0.0,0.2532,0.2462,0.7007,3
0.2498,0.0,0.2484,0.251,0.6942,3
0.2537,0.0,0.2509,0.2506,0.7053,3
0.2515,0.0,0.2557,0.2481,0.6987,3
0.254,0.0,0.2543,0.2548,0.7056,3
0.2505,0.0,0.2505,0.2574,0.7037,3
0.2466,0.0,0.2477,0.249,0.6911,3
0.2476,0.0,0.2447,0.2442,0.7048,3
0.2484,0.0,0.2488,0.2485,0.6998,3
0.2491,0.0,0.2534,0.264,0.7004,3
0.2556,0.0,0.2532,0.2572,0.7029,3
0.2476,0.0,0.2502,0.255,0.6943,3
0.2458,0.0,0.2467,0.2429,0.7003,3
0.2512,0.0,0.2543,0.2555,0.6977,3
0.2549,0.0,0.2496,0.2545,0.6907,3
0.2465,0.0,0.2515,0.2528,0.6986,3
0.2472,0.0,0.2427,0.2504,0.7051,3
0.2427,0.0,0.2452,0.2455,0.6908,3
0.2543,0.0,0.2521,0.252,0.7003,3
0.2466,0.0,0.2542,0.2542,0.6953,3
0.2455,0.0,0.2439,0.2485,0.6969,3
