protected,f0,f1,f2,accuracy,c
0.2488,0.0,0.252,0.2486,0.5383,3
0.2555,0.2481,0.2519,0.2566,0.55,3
0.1928,-0.37,-0.2572,-0.2528,0.5461,3
0.2479,0.0,0.2479,0.253,0.5514,3
-0.1875,-0.3139,0.1263,-0.2488,0.5566,3
-0.2555,-0.1287,0.1299,0.1953,0.5471,3
-0.2481,-0.3154,-0.2501,-0.2412,0.5458,3
0.2485,0.1269,0.2547,0.2605,0.5532,3
-0.1251,-0.191,0.0633,0.0,0.5502,3
-0.0607,-0.31,0.0,0.0,0.5504,3
-0.1876,-0.3148,-0.1884,0.0651,0.5468,3
-0.2447,-0.2529,0.1233,0.1234,0.55,3
0.1279,0.0,0.1306,0.1261,0.5486,3
-0.2405,-0.1844,0.1804,-0.2471,0.5562,3
0.0631,-0.0653,0.0635,0.0628,0.5523,3
0.2444,0.0,0.2524,0.258,0.5556,3
0.2468,0.0,0.2491,0.2477,0.5427,3
0.061,-0.4293,-0.123,0.0,0.5495,3
0.1924,0.0,0.1913,0.196,0.552,3
-0.1846,-0.378,-0.1865,0.0609,0.5473,3
0.1267,0.0,0.1259,-0.1898,0.5574,3
0.2551,0.0,0.2505,0.2511,0.5514,3
-0.2455,-0.4972,0.1256,0.1221,0.5503,3
0.243,0.1234,0.245,0.243,0.5447,3
-0.0617,-0.43,0.0,-0.1244,0.5588,3
0.246,0.0,0.2471,0.242,0.5413,3
0.1855,0.0,-0.2451,0.1886,0.5556,3
-0.1808,-0.251,-0.245,0.1243,0.545,3
0.2545,0.0,0.2571,0.2487,0.5521,3
0.2515,0.0,0.2534,0.2484,0.5474,3
-0.2485,-0.0639,0.1862,0.1833,0.5469,3
0.257,0.0,0.2538,0.2554,0.5566,3
0.2488,0.0,0.2449,0.2528,0.5458,3
-0.1876,-0.1278,0.0618,-0.1857,0.5512,3
0.1908,-0.1279,-0.2445,-0.2509,0.5567,3
-0.2551,-0.1241,0.1259,-0.1969,0.5572,3
0.2506,0.0,0.2594,0.2528,0.5499,3
0.2597,0.0,0.2586,0.2465,0.5523,3
0.247,0.0,0.2447,0.2486,0.5494,3
-0.2522,-0.1834,-0.1935,0.1272,0.5499,3
0.2454,0.0,0.2497,0.2508,0.5465,3
0.2519,0.0,0.2515,0.2551,0.5463,3
-0.1902,-0.2491,0.0673,-0.1906,0.5551,3
0.128,-0.1238,-0.2519,0.1831,0.544,3
0.1795,-0.1304,-0.2508,-0.2513,0.5423,3
0.2497,0.0648,0.2457,0.2471,0.5493,3
0.2446,0.1207,0.2537,0.2477,0.543,3
0.064,-0.0584,-0.1925,0.1266,0.5447,3
0.123,-0.1273,0.1274,0.0,0.5448,3
-0.2447,-0.3158,-0.2482,-0.1852,0.5472,3
-0.2497,-0.2508,0.127,0.1252,0.5429,3
0.1252,0.0,0.1865,0.119,0.5498,3
0.2506,0.0,0.2503,0.2521,0.5579,3
0.2532,0.2514,0.2535,0.2557,0.5402,3
0.2526,0.1254,0.2477,0.2462,0.5465,3
-0.247,-0.1946,0.1858,0.1228,0.5519,3
0.2587,0.2479,0.2597,0.2556,0.5511,3
0.0,-0.5017,0.0,0.0,0.5564,3
0.1218,0.0,0.188,-0.2514,0.5515,3
0.0,-0.4983,0.0,0.0,0.5482,3
-0.1838,-0.3737,-0.2463,0.1214,0.5471,3
0.2526,0.0,0.251,0.2496,0.5458,3
0.248,0.0,0.25,0.2512,0.5508,3
0.1947,-0.0641,-0.2485,-0.248,0.5505,3
0.2479,0.0,0.2454,0.2441,0.5452,3
0.2436,0.0,0.252,0.2507,0.5391,3
0.1245,0.0,-0.1847,0.1252,0.5422,3
-0.2543,-0.1216,0.1264,0.1864,0.5502,3
0.1193,0.0,0.1206,0.0,0.5503,3
0.2492,0.0,0.2575,0.253,0.5522,3
-0.2447,-0.0607,0.1191,0.1868,0.5442,3
0.1249,-0.2486,0.1225,-0.2489,0.556,3
-0.1256,-0.2467,0.0635,0.0,0.5464,3
-0.1879,0.0,0.0619,0.1293,0.5537,3
0.1257,0.0,0.193,0.1273,0.5571,3
0.1882,0.0,0.1865,0.1865,0.5559,3
0.0,-0.1257,0.1234,-0.1271,0.5569,3
0.2487,0.0,0.2493,0.2485,0.5492,3
0.2536,0.0,0.2469,0.2556,0.5506,3
0.1309,-0.0643,-0.1249,0.0,0.546,3
0.2355,0.0,0.2412,0.2426,0.5549,3
0.2486,0.0607,0.2473,0.2537,0.5467,3
0.1892,0.0,0.1836,0.192,0.5506,3
-0.1832,-0.4414,-0.1235,0.0612,0.5491,3
0.1229,-0.1251,-0.1898,-0.2497,0.5425,3
0.1264,0.0,0.0,0.1243,0.5503,3
-0.2527,-0.4306,-0.1248,-0.1266,0.5393,3
-0.252,-0.3731,-0.1294,0.1275,0.547,3
-0.2511,-0.0639,0.1877,-0.2521,0.5519,3
0.0,-0.13,0.0592,0.0,0.5447,3
-0.2514,-0.3106,0.1892,-0.2506,0.551,3
0.1246,-0.2504,-0.2503,-0.1927,0.559,3
0.2505,0.0,0.2491,0.2525,0.5456,3
0.1298,-0.2494,-0.2522,0.1261,0.5499,3
0.2526,0.123,0.2518,0.2453,0.5527,3
0.1839,0.0,0.1208,0.1854,0.5446,3
0.0,-0.4975,0.0,0.0,0.5437,3
0.2396,0.0,0.2425,0.2439,0.5509,3
0.0,-0.373,0.0614,-0.121,0.5583,3
0.2451,0.1247,0.2477,0.2506,0.5384,3
