protected,f0,f1,f2,accuracy,c
0.2564,0.0614,0.252,0.2491,0.6474,3
0.2498,0.0,0.247,0.255,0.6558,3
0.2549,0.0,0.246,0.2505,0.6585,3
0.2521,0.0,0.2516,0.2527,0.653,3
0.2518,0.0,0.2533,0.256,0.6473,3
0.2408,0.0,0.2452,0.252,0.6477,3
0.2509,0.0,0.2493,0.2477,0.6472,3
0.2599,0.0,0.2635,0.2558,0.6615,3
0.2492,0.0,0.2492,0.2581,0.6474,3
0.254,0.0,0.2497,0.2491,0.6548,3
0.2471,0.0,0.2476,0.2491,0.6587,3
0.2383,0.0,0.2406,0.2385,0.6597,3
0.2518,0.2473,0.257,0.2507,0.6491,3
0.2498,0.0,0.2558,0.2514,0.6493,3
0.2492,0.0626,0.2468,0.2474,0.6475,3
0.2521,0.0,0.2538,0.2504,0.6446,3
0.2516,0.0,0.2478,0.2447,0.6557,3
0.2482,0.0,0.2505,0.255,0.6471,3
0.2517,0.0,0.2512,0.2476,0.6517,3
0.2543,0.0,0.2566,0.254,0.6457,3
0.2491,0.0,0.2539,0.2537,0.6474,3
0.2483,0.0,0.2553,0.2529,0.6405,3
0.246,0.0,0.2468,0.2504,0.6488,3
0.2541,0.0,0.2545,0.2527,0.6483,3
0.2454,0.0,0.2485,0.2541,0.6403,3
0.2504,0.0,0.2473,0.2452,0.6537,3
0.2479,0.0,0.2499,0.2477,0.6565,3
0.2431,0.0,0.2459,0.2426,0.6461,3
0.2492,0.0,0.2492,0.2454,0.6518,3
0.2376,0.0,0.2465,0.2481,0.6506,3
0.2539,0.0,0.2482,0.2591,0.6446,3
0.2544,0.0,0.2531,0.2536,0.653,3
0.2524,0.0,0.251,0.2515,0.6498,3
0.2435,0.0,0.2459,0.247,0.6474,3
0.2508,0.0,0.2552,0.2497,0.6501,3
0.2526,0.0,0.2495,0.2533,0.6446,3
0.2614,0.0,0.256,0.2549,0.6496,3
0.2473,0.0,0.2489,0.2433,0.6493,3
0.2417,0.0,0.2505,0.2507,0.6584,3
0.2473,0.0,0.2478,0.25,0.6589,3
0.2535,0.0,0.2488,0.2469,0.6527,3
0.2513,0.0,0.2472,0.2504,0.6592,3
0.2481,0.0,0.2514,0.2564,0.6532,3
0.2486,0.0,0.2446,0.247,0.6502,3
0.2479,0.2523,0.244,0.2431,0.654,3
0.2456,0.0,0.251,0.2516,0.6489,3
0.2524,0.0,0.2499,0.2545,0.6462,3
0.2555,0.0,0.2516,0.2486,0.6473,3
0.2473,0.0,0.2551,0.2542,0.6506,3
0.2568,0.0,0.2578,0.2503,0.6494,3
0.252,0.0,0.2535,0.2478,0.6494,3
0.2456,0.0,0.2449,0.2416,0.6559,3
0.2561,0.0,0.2482,0.2517,0.6469,3
0.2583,0.0,0.2541,0.2509,0.6544,3
0.2534,0.0,0.2534,0.2478,0.6448,3
0.2476,0.0,0.2488,0.2476,0.6494,3
0.2559,0.0,0.2521,0.2469,0.6439,3
0.2571,0.0,0.2472,0.2524,0.6484,3
0.2507,0.0,0.2532,0.2514,0.6478,3
0.2539,0.0,0.2545,0.2499,0.6415,3
0.2552,0.0,0.2545,0.2553,0.6521,3
0.2578,0.0,0.2582,0.262,0.6533,3
0.259,0.0,0.2528,0.2465,0.6518,3
0.2486,0.0,0.248,0.2525,0.6499,3
0.26,0.0,0.2558,0.2531,0.6427,3
-0.2546,-0.1267,0.1924,-0.2472,0.6571,3
0.2518,0.0,0.2473,0.249,0.6557,3
0.2444,0.0,0.2445,0.2499,0.6505,3
0.251,0.0,0.248,0.2509,0.6487,3
0.2531,0.0,0.2542,0.2487,0.6527,3
-0.2512,-0.2489,-0.2491,-0.2505,0.6447,3
-0.2529,-0.1895,0.189,0.1272,0.6492,3
0.2406,0.0,0.2429,0.2441,0.6422,3
0.2522,0.0,0.2556,0.2528,0.6539,3
0.2483,0.0,0.2457,0.2476,0.6516,3
0.2481,0.0,0.2523,0.2459,0.6491,3
-0.1844,0.0,0.1309,0.1252,0.6465,3
0.2534,0.0,0.2567,0.2576,0.6469,3
0.2541,0.0,0.261,0.2391,0.6455,3
0.2496,0.0,0.2478,0.2461,0.6498,3
0.2515,0.0,0.2491,0.255,0.6464,3
0.251,0.0,0.2516,0.2513,0.6511,3
0.2537,0.0,0.2532,0.2502,0.6468,3
0.1244,0.0,0.1215,0.1867,0.6459,3
0.2444,0.0,0.2482,0.2435,0.6555,3
0.2512,0.0,0.2534,0.2572,0.6487,3
0.2514,0.0,0.2552,0.2507,0.6458,3
0.2481,0.0,0.2554,0.2431,0.6445,3
0.2461,0.0,0.2562,0.2587,0.6451,3
0.2496,0.0,0.2478,0.2526,0.6587,3
0.2479,0.0,0.2484,0.2481,0.6476,3
0.2464,0.0,0.2482,0.2391,0.6501,3
0.2398,0.0,0.2459,0.2458,0.6474,3
0.2537,0.0,0.2563,0.2476,0.652,3
0.2522,0.0,0.2565,0.2543,0.6561,3
0.2424,0.0,0.2397,0.2497,0.6533,3
0.2521,0.0,0.2551,0.2592,0.6439,3
0.2578,0.1229,0.2581,0.2597,0.6469,3
0.248,0.0,0.2452,0.2468,0.6555,3
0.244,0.0,0.2447,0.2399,0.6533,3
