protected,f0,f1,f2,accuracy,c
-0.1757,0.0607,0.2451,-0.1884,0.5956,3
0.2487,0.0,0.2436,0.2466,0.5947,3
0.2499,0.1247,-0.1244,0.1851,0.5921,3
0.2509,0.0,0.2569,-0.2551,0.6005,3
0.2498,0.0,0.2517,0.2559,0.6048,3
0.244,0.0,-0.2443,0.247,0.6024,3
0.2521,0.0,0.2446,0.2515,0.5936,3
0.2513,0.0618,0.2557,0.2547,0.6049,3
0.2508,0.0,0.2474,0.25,0.5936,3
0.2462,0.1898,-0.1911,0.253,0.6064,3
0.2532,0.0,0.2558,0.2502,0.5942,3
0.2466,0.0,0.2481,0.2586,0.5856,3
0.2545,0.0,0.2497,0.2469,0.5937,3
-0.1855,0.0,-0.1883,0.2486,0.5921,3
0.2511,0.0,0.2504,-0.2513,0.5922,3
0.1849,0.0,0.2522,-0.1315,0.602,3
-0.2543,0.0,0.2607,-0.2589,0.6061,3
-0.2455,0.0,-0.2392,-0.2387,0.604,3
0.1877,0.3678,0.2576,0.2463,0.6043,3
0.2451,0.0606,-0.1814,0.2497,0.601,3
-0.252,0.0617,-0.2519,0.2564,0.5915,3
-0.1925,0.0634,0.2561,-0.1887,0.5963,3
0.2539,0.0,0.2552,0.2487,0.6006,3
0.2475,0.0626,0.2518,0.2502,0.6052,3
-0.129,0.0,0.1934,-0.125,0.5956,3
0.2496,0.1234,-0.2525,0.2429,0.6041,3
-0.2527,0.0,0.2487,-0.254,0.6004,3
-0.0617,0.0605,-0.0629,0.0,0.6007,3
0.2495,0.0,-0.2479,0.2475,0.5949,3
0.2559,0.0,-0.2599,0.2562,0.6007,3
-0.0618,0.0,0.1892,-0.1222,0.6063,3
0.2441,0.0,0.2436,-0.2489,0.6018,3
0.2424,0.0649,0.2397,0.2507,0.5995,3
-0.245,0.0605,0.2502,0.2499,0.5967,3
0.2482,0.0,0.2463,0.2439,0.6103,3
0.2561,0.0,0.2535,0.2491,0.5937,3
0.2563,0.0,0.2526,0.25,0.5933,3
0.2533,0.0,0.2486,0.251,0.6087,3
0.2484,0.0,0.249,0.2484,0.6021,3
0.2436,0.2545,0.2463,0.2499,0.6047,3
-0.251,0.0,0.252,0.2511,0.5958,3
-0.2511,0.0,0.2487,-0.2541,0.6023,3
0.2525,0.0602,-0.1856,-0.1872,0.5957,3
-0.2497,0.0,-0.2507,0.2407,0.6031,3
-0.249,0.0,0.2462,0.2544,0.594,3
0.2503,0.247,0.2521,0.2513,0.5968,3
0.2566,0.0,0.2473,-0.1859,0.6067,3
0.2452,0.0607,0.2462,0.2512,0.5958,3
0.2493,0.3234,-0.1922,0.2505,0.5999,3
0.2522,0.0,0.2461,0.2513,0.6008,3
-0.2499,0.0,0.2505,-0.2469,0.6024,3
-0.1221,0.1871,0.1864,0.2485,0.6038,3
0.2393,0.0,0.2419,-0.2438,0.5987,3
0.2514,0.0,-0.1933,-0.1902,0.6007,3
0.2532,0.0,0.2555,0.2472,0.594,3
0.2516,0.3124,0.2464,0.1861,0.6002,3
0.2508,0.0,0.2442,0.2488,0.5949,3
-0.1227,0.0674,0.2435,0.1813,0.6003,3
0.249,0.2526,-0.1923,-0.1851,0.5997,3
0.2508,0.1878,0.1901,-0.1227,0.6024,3
0.2473,0.2449,0.2494,0.249,0.6004,3
0.2559,0.0,-0.2529,0.2533,0.5943,3
0.2512,0.0,0.2543,0.2483,0.6001,3
0.2549,0.0,-0.2517,-0.2482,0.6027,3
0.2451,0.0,-0.2552,0.2414,0.6043,3
-0.2524,0.0,0.25,-0.2551,0.6046,3
-0.12,0.1921,0.2427,-0.1212,0.6054,3
0.2516,0.2489,0.2501,0.25,0.5916,3
-0.1888,0.1213,0.2488,0.253,0.6002,3
0.2492,0.0,0.2478,0.2483,0.6024,3
0.2467,0.252,0.1857,0.2564,0.6032,3
0.2481,0.0,-0.2416,0.2417,0.6021,3
-0.253,0.0,0.2524,0.2543,0.5956,3
0.2497,0.0,0.2509,0.2473,0.5996,3
-0.1256,0.3776,0.25,0.1871,0.5883,3
-0.1275,0.0,-0.1249,0.1891,0.6012,3
0.1837,0.3159,0.2463,0.2443,0.596,3
-0.2497,0.0,0.2503,0.2452,0.602,3
-0.2518,0.0,-0.2444,0.2443,0.6048,3
-0.2468,0.0,0.2456,0.2438,0.5981,3
0.2489,0.0,0.2492,0.2545,0.6056,3
0.2426,0.0,-0.1796,-0.1829,0.5945,3
0.2428,0.1868,0.2419,0.2436,0.6062,3
0.245,0.0659,-0.1803,0.2427,0.6082,3
0.2506,0.122,0.2486,0.2517,0.5997,3
0.2553,0.0,0.2487,0.2472,0.5971,3
0.2476,0.1228,0.1817,-0.127,0.6041,3
0.2508,0.0,0.2542,0.259,0.5989,3
0.2562,0.2443,0.2548,0.2515,0.5943,3
-0.1904,0.2474,0.2463,0.2546,0.5931,3
-0.064,0.3109,0.1916,0.1878,0.5987,3
0.2428,0.0,0.2532,0.2468,0.5921,3
-0.1936,0.0628,0.2508,0.2554,0.6068,3
0.2498,0.0,0.255,0.2481,0.5977,3
0.0,0.1294,0.1272,0.1259,0.6009,3
0.2501,0.3082,0.2516,0.2529,0.6017,3
-0.2474,0.0633,0.2388,0.2465,0.5965,3
0.2492,0.0,0.256,0.2464,0.6043,3
0.2506,0.0,-0.1811,-0.1917,0.597,3
-0.2552,0.0,0.2429,0.2474,0.6014,3
