protected,f0,f1,f2,accuracy,c
0.1252,0.2503,0.0,0.1267,0.5481,3
0.2526,0.2475,0.2513,0.2534,0.5409,3
0.2446,0.2449,0.2468,0.2474,0.5531,3
0.2456,0.2463,0.1863,0.2561,0.551,3
-0.0608,0.311,0.1826,0.1888,0.5522,3
0.1209,0.3686,0.1231,0.2418,0.5623,3
0.2604,0.0633,-0.2526,0.2489,0.5478,3
0.1866,0.3865,0.2436,0.2535,0.5546,3
0.0,0.1873,0.1265,-0.0622,0.5553,3
-0.1288,0.0,-0.1298,-0.0641,0.5556,3
0.2484,0.0,0.2407,0.2445,0.5472,3
-0.1266,0.0,-0.1338,-0.0625,0.5546,3
0.2492,0.0626,0.2498,0.2447,0.5488,3
-0.1272,0.3748,0.1887,0.248,0.5483,3
0.2525,0.0645,-0.1829,0.2513,0.5484,3
-0.0672,0.5005,0.1286,0.1286,0.5467,3
0.0,0.2504,0.1245,-0.0609,0.5568,3
0.2462,0.0,0.2486,0.246,0.5467,3
0.2515,0.3705,0.2531,0.1898,0.5482,3
0.2439,0.1856,0.2419,-0.1843,0.5476,3
0.2481,0.2498,0.1846,0.2421,0.5515,3
0.2497,0.1941,-0.1882,0.2515,0.5591,3
0.2467,0.4404,0.1872,0.1844,0.5453,3
0.2465,0.0641,0.2513,0.252,0.5469,3
-0.1842,0.2573,0.246,0.2516,0.542,3
0.2536,0.1243,0.2487,0.2544,0.5521,3
0.1907,0.0,-0.1272,-0.1272,0.5429,3
0.2495,0.3108,0.2466,0.19,0.5443,3
0.1305,0.1835,0.125,0.0,0.5512,3
0.2551,0.0,0.2549,-0.2471,0.5506,3
0.2491,0.3671,0.2508,0.1871,0.548,3
0.1832,0.2503,0.1846,-0.063,0.5529,3
-0.2568,0.0,-0.2504,0.2526,0.5464,3
0.1949,0.4237,0.257,0.1908,0.5592,3
0.2489,0.0,0.2514,0.257,0.555,3
0.2599,0.0,0.2552,-0.2525,0.546,3
0.256,0.1193,0.2558,-0.1953,0.5554,3
-0.2494,0.0,0.247,0.2401,0.5439,3
-0.2519,0.0,0.2542,0.2485,0.5581,3
0.1832,0.2503,-0.1266,0.2524,0.5547,3
-0.1263,0.0,0.1847,-0.1254,0.5535,3
-0.1276,0.3035,0.2536,0.1929,0.5506,3
0.2501,0.0,0.2497,-0.2483,0.5501,3
0.2433,0.0667,-0.1855,0.2387,0.5503,3
0.2477,0.0,-0.2588,-0.2489,0.5534,3
0.2448,0.249,0.1234,0.1244,0.555,3
-0.1908,0.3015,0.2532,0.2596,0.5497,3
0.187,0.2492,-0.1256,0.2497,0.5442,3
0.2577,0.0,0.246,0.2485,0.5546,3
-0.1241,0.0,-0.1239,-0.1827,0.5483,3
0.2531,0.0,0.2487,0.2492,0.5548,3
-0.1231,0.1897,0.2464,0.1914,0.5518,3
-0.2515,0.0,0.2502,0.2481,0.5599,3
0.1841,0.2518,-0.1253,0.2461,0.5647,3
0.1929,0.3155,0.2539,0.2501,0.5515,3
-0.252,0.0,0.2501,-0.2436,0.5417,3
0.2445,0.0612,0.2533,-0.257,0.5514,3
0.2427,0.2469,0.1233,0.1188,0.5397,3
-0.1885,0.1904,0.2466,0.2477,0.5516,3
0.246,0.0,-0.2417,-0.2484,0.5517,3
-0.189,0.0,-0.1896,-0.1896,0.5523,3
0.0,0.0,0.1254,0.1263,0.5536,3
0.254,0.1232,0.2483,0.2432,0.5474,3
0.2396,0.0,-0.2496,0.2499,0.5402,3
0.2554,0.3142,0.2525,0.2527,0.5568,3
0.182,0.1234,0.2458,-0.1232,0.5545,3
0.19,0.0,0.1831,-0.059,0.5482,3
0.1906,0.3147,-0.1247,0.2477,0.5501,3
0.2411,0.1268,0.2496,0.2485,0.5536,3
-0.118,0.1298,0.2484,0.1846,0.5526,3
0.1839,0.3798,0.2501,0.2526,0.5562,3
-0.1271,0.0585,-0.0618,0.1826,0.5566,3
-0.1911,0.0608,0.2508,-0.1924,0.552,3
0.1863,0.0,-0.1233,-0.1249,0.5568,3
0.2561,0.3596,0.2577,0.1938,0.5536,3
-0.2502,0.0,0.2482,-0.2495,0.5463,3
0.1929,0.3822,0.2486,0.2442,0.5527,3
0.0,0.3119,0.064,0.126,0.5569,3
0.1856,0.1894,-0.1248,0.2461,0.5496,3
0.2456,0.1305,-0.185,0.249,0.543,3
-0.1204,0.3729,0.1239,0.2438,0.5415,3
0.2409,0.065,-0.1849,-0.1846,0.5461,3
0.0,0.5047,0.0,0.0608,0.5582,3
0.182,0.1289,-0.0608,-0.1188,0.5475,3
0.1231,0.4974,0.1231,0.0644,0.5486,3
-0.2473,0.0,0.2512,0.2482,0.55,3
0.2461,0.1857,0.2472,-0.1825,0.5491,3
0.2548,0.0,0.2492,0.2498,0.5581,3
-0.2555,0.0,0.2649,0.2526,0.5497,3
0.1238,0.1258,0.1201,0.0,0.5578,3
-0.259,0.131,0.2472,0.2527,0.5514,3
0.2596,0.2451,0.2573,-0.1858,0.5578,3
0.1252,0.3692,0.0,0.0643,0.5503,3
-0.1249,0.0,-0.1245,-0.1862,0.5474,3
0.2521,0.0,-0.2479,0.2501,0.5652,3
0.2514,0.255,0.2452,0.249,0.5457,3
0.2423,0.1304,0.243,0.2435,0.5532,3
0.2473,0.2453,0.1268,0.1214,0.5439,3
0.2496,0.1303,0.2517,0.2542,0.5486,3
0.1266,0.1874,0.1283,0.0,0.5596,3
