protected,f0,f1,f2,accuracy,c
0.2427,0.0,0.2476,0.2474,0.7083,3
0.249,0.0,0.2474,0.2557,0.7019,3
0.2477,0.0,0.2397,0.2472,0.705,3
0.2497,0.0,0.2473,0.2556,0.7036,3
0.2445,0.0,0.2505,0.2496,0.6999,3
0.2458,0.0,0.2471,0.2504,0.7007,3
0.2456,0.0,0.241,0.2389,0.6963,3
0.2566,0.0,0.2506,0.2439,0.7003,3
0.2585,0.0,0.2509,0.2583,0.7042,3
0.2495,0.0,0.2526,0.2471,0.7017,3
0.2445,0.0,-0.2527,-0.2562,0.6976,3
0.2563,0.0,0.2438,0.2446,0.7096,3
0.2475,0.0604,0.2484,0.2495,0.6947,3
0.2631,0.0,0.2547,0.2541,0.7055,3
0.2474,0.0,0.2492,0.2517,0.7034,3
0.2525,0.0,0.255,0.2511,0.696,3
0.2551,0.0,0.258,0.2583,0.7001,3
0.2495,0.0,0.2515,-0.2522,0.7048,3
0.2401,0.0,0.2415,0.2513,0.7065,3
0.2449,0.0,0.2553,0.2488,0.706,3
0.2522,0.0,0.2523,0.255,0.7076,3
0.2551,0.0,0.249,0.2471,0.6958,3
0.2501,0.0,0.2517,0.2528,0.6975,3
-0.2522,0.0,0.255,0.2535,0.6909,3
0.256,0.1237,0.249,0.2516,0.6978,3
0.2451,0.0,0.251,0.2528,0.7017,3
0.2514,0.0,0.2549,0.2409,0.703,3
-0.2467,0.0,0.2521,0.252,0.7002,3
0.2457,0.0,0.2467,0.2416,0.6949,3
0.2544,0.0,0.2454,0.2532,0.6987,3
0.2456,0.0,0.2439,0.2461,0.7035,3
0.2466,0.0,0.2501,0.2556,0.6994,3
0.2504,0.0,0.2488,0.252,0.6998,3
0.2501,0.0,0.2471,0.2441,0.7039,3
0.2524,0.0,0.2524,0.247,0.6991,3
-0.2386,0.0,0.2453,-0.2515,0.7046,3
0.2489,0.0,0.247,0.2485,0.7069,3
0.2486,0.0,0.2581,0.255,0.6993,3
0.253,0.0,0.2516,0.261,0.6931,3
0.2532,0.0,0.2536,0.2496,0.7055,3
0.2492,0.0,0.2481,0.2532,0.7002,3
0.2549,0.0,0.2557,0.253,0.7011,3
0.2563,0.0,0.2536,0.2557,0.7009,3
0.2541,0.0,0.2561,0.2521,0.6962,3
0.2563,0.0,0.2556,0.2485,0.6925,3
0.25,0.0,-0.2537,0.2564,0.7088,3
0.2533,0.0,0.2583,0.2554,0.6979,3
0.2454,0.0,0.2481,0.2479,0.6974,3
0.2536,0.0,0.2539,0.248,0.6969,3
0.2433,0.0,0.2518,0.2409,0.6995,3
0.2461,0.0,0.2478,0.247,0.7087,3
0.2578,0.0,0.2599,0.255,0.7002,3
0.2482,0.0,0.2525,0.2535,0.7004,3
0.2509,0.0,0.2461,0.2462,0.6907,3
0.2535,0.0,0.2524,0.2447,0.6995,3
0.2467,0.0,0.2447,-0.2498,0.7051,3
0.2562,0.0,0.2577,0.2623,0.6924,3
0.2512,0.0,0.2537,0.2458,0.7081,3
0.2536,0.0,0.256,0.253,0.6995,3
0.2573,0.0,0.2521,0.2507,0.7,3
0.2521,0.0,0.2483,0.244,0.6923,3
0.2544,0.0,0.256,0.2556,0.7023,3
0.2534,0.0,0.2525,0.2494,0.7083,3
0.253,0.0,0.252,0.2459,0.6934,3
0.2486,0.0,0.2528,0.2541,0.7059,3
0.2533,0.0,0.2515,0.2555,0.6898,3
0.2512,0.0,0.2557,0.2465,0.7049,3
0.2527,0.0,0.2516,0.2518,0.7015,3
0.2478,0.0,0.2526,0.2486,0.6961,3
0.2497,0.0,0.2468,0.2497,0.7018,3
0.247,0.0,0.246,0.2447,0.7029,3
0.2528,0.0,0.2465,0.2483,0.6933,3
0.2569,0.0,0.2497,0.2552,0.6946,3
0.2484,0.0,0.2489,0.2427,0.6942,3
0.2518,0.0,0.2492,0.2514,0.6996,3
0.2426,0.0,0.2502,0.2482,0.6987,3
0.2503,0.0,0.2459,0.2487,0.7046,3
0.2539,0.0,0.2507,0.2564,0.6968,3
0.2474,0.0,0.2506,0.2505,0.7032,3
0.252,0.0,0.2523,-0.2511,0.6969,3
0.2462,0.1244,0.2466,0.2495,0.6964,3
0.2424,0.0,0.2526,0.2572,0.7046,3
0.2447,0.0,0.2463,0.244,0.6981,3
0.2542,0.0,0.2503,0.2483,0.7015,3
0.2533,0.0,0.2575,0.2521,0.6997,3
0.259,0.0,0.2522,0.252,0.6951,3
0.2474,0.1217,0.2538,0.2495,0.6929,3
0.2556,0.0,0.2512,0.2565,0.703,3
0.2503,0.0588,0.253,0.2532,0.693,3
0.2471,0.0,0.2502,0.2554,0.7003,3
0.245,0.0,0.2473,0.249,0.7024,3
0.247,0.0,0.2464,0.2422,0.7042,3
0.2495,0.0,0.2477,0.2479,0.6971,3
0.2518,0.0,0.247,0.2471,0.7062,3
0.2515,0.0,0.2476,0.2487,0.7007,3
0.2524,0.0,0.2493,0.2481,0.7034,3
0.2468,0.0,0.249,0.2514,0.7059,3
0.247,0.0,0.2517,0.2523,0.7002,3
0.2494,0.0,0.2417,0.2422,0.7081,3
0.2502,0.0,0.2556,0.2511,0.7049,3
