f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,protected
0.0,-0.1689,0.1321,-0.1813,-0.1654,-0.1503,-0.1352,-0.1448,-0.1533,-0.165,0.1021,-0.1461,0.0903,0.1283,-0.1436,0.1232
0.0,-0.0881,0.0577,0.0805,0.0411,0.0672,-0.0801,-0.0864,-0.094,-0.0909,-0.1026,-0.0947,-0.1236,-0.0976,0.0661,0.0246
0.0,0.0328,-0.1101,-0.0727,-0.0641,0.0548,-0.075,0.0438,-0.0677,-0.089,-0.083,-0.0967,0.0503,-0.0637,0.044,0.0491
0.0,0.0792,-0.1134,-0.1441,0.098,-0.1198,-0.1274,0.0179,-0.1204,-0.1068,0.0938,-0.1022,0.0989,-0.1008,-0.1116,-0.1109
0.0,-0.0802,0.0653,-0.0974,0.0505,-0.1195,0.0684,-0.0744,-0.1097,-0.0879,-0.0736,-0.081,0.0467,0.049,0.0628,-0.1117
0.4965,0.4582,0.4209,0.4156,0.4269,-0.35,0.4264,-0.3821,-0.409,0.4414,0.4116,-0.4099,0.4479,-0.3862,-0.3959,-0.3993
0.5005,-0.4109,0.4689,0.451,-0.4217,0.4417,0.4524,0.4466,0.4498,-0.4179,0.4619,0.4618,0.449,-0.4182,-0.4295,0.4776
0.4988,0.3844,0.3483,0.3442,-0.3287,0.3944,0.3519,-0.3154,0.3684,-0.3419,0.3481,-0.3382,-0.3121,0.3501,0.3924,-0.3245
0.0,-0.0663,-0.0791,0.0266,-0.0571,-0.0653,-0.0753,0.0573,-0.089,-0.0623,-0.068,-0.0555,0.0171,0.0528,0.0448,0.0293
0.4914,-0.3419,-0.3276,0.4009,-0.3502,-0.354,0.3694,0.3793,-0.3543,0.39,0.4334,0.3892,-0.3423,-0.3563,-0.3482,-0.3249
0.0,0.0772,0.0655,0.0856,-0.0902,0.0881,0.0801,0.0898,0.0771,0.0837,0.0581,-0.1376,0.0615,-0.1233,-0.1446,-0.0935
0.0,-0.1677,-0.1545,0.1334,0.1011,0.133,-0.1523,-0.1873,0.1214,0.1083,-0.1488,0.1209,-0.1946,0.1076,-0.1391,-0.1471
