f0,protected
-0.493,0.2393
-0.5035,0.2533
-0.5045,0.256
-0.4937,0.2414
-0.4948,0.2536
-0.4964,0.2463
-0.5017,0.2464
-0.5008,0.2521
-0.4955,0.2431
-0.4928,0.2444
-0.5085,0.2628
-0.4987,0.2533
-0.4964,0.2534
-0.4964,0.2472
-0.4921,0.2468
-0.5072,0.251
-0.495,0.2463
-0.5042,0.2472
-0.498,0.2541
-0.5052,0.2509
-0.4981,0.2475
-0.5093,0.2551
-0.5013,0.2497
-0.4997,0.2525
-0.5086,0.2528
-0.5048,0.2567
-0.5078,0.2588
-0.5013,0.2455
-0.5031,0.2533
-0.4954,0.2428
-0.5057,0.2545
-0.4966,0.2517
-0.4953,0.2457
-0.4982,0.2461
-0.4966,0.252
-0.5047,0.2508
-0.501,0.2504
-0.4954,0.2496
-0.4945,0.2494
-0.4955,0.2488
-0.4997,0.2487
-0.4975,0.2399
-0.4967,0.2515
-0.4936,0.2492
-0.4959,0.244
-0.4972,0.2555
-0.5054,0.2536
-0.4962,0.2409
-0.5047,0.2519
-0.493,0.2451
-0.499,0.2558
-0.5049,0.2452
-0.4958,0.2466
-0.4958,0.2422
-0.4974,0.2489
-0.4936,0.2472
-0.4972,0.2465
-0.4985,0.2557
-0.5055,0.2563
-0.5006,0.2533
-0.5014,0.2463
-0.4973,0.252
-0.4939,0.2538
-0.5005,0.2485
-0.5039,0.2527
-0.4975,0.2569
-0.4983,0.2552
-0.5064,0.2506
-0.5024,0.2523
-0.4924,0.2416
-0.5096,0.2483
-0.5001,0.254
-0.5021,0.2505
-0.5013,0.2522
-0.4983,0.247
-0.5001,0.2503
-0.4973,0.248
-0.4944,0.2498
-0.5102,0.2554
-0.5075,0.2497
-0.4988,0.2466
-0.508,0.2509
-0.506,0.2556
-0.5033,0.2481
-0.5045,0.2583
-0.5018,0.2528
-0.5022,0.2529
-0.4898,0.242
-0.4951,0.2505
-0.5032,0.248
-0.4933,0.2486
-0.5136,0.256
-0.5017,0.2536
-0.505,0.2542
-0.5031,0.2497
-0.4968,0.2444
-0.5052,0.2492
-0.506,0.2475
-0.5057,0.2515
-0.5056,0.2517
