f0,protected
0.0,0.0
0.0,0.0
0.0,0.0
-0.4984,-0.5035
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.4956,-0.4922
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2503
-0.491,-0.5034
0.0,0.0
0.0,0.0
0.0,0.0
0.4946,0.2441
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2514,0.0
0.0,0.0
0.2521,0.2521
0.2508,0.5095
0.0,0.0
0.2415,0.2415
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.4873,-0.5003
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.25,0.25
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.5062,-0.4834
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2481,0.5006
0.0,0.0
0.0,0.0
0.2518,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2465,0.2465
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.2581
0.0,0.2528
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
