f0,protected
-0.5026,0.2501
-0.5091,0.2566
-0.5072,0.2513
-0.4974,0.2536
-0.4966,0.2507
-0.49,0.2426
-0.502,0.2484
-0.4947,0.2496
-0.5004,0.253
-0.5031,0.2516
-0.5039,0.2521
-0.5092,0.2592
-0.5053,0.248
-0.5052,0.2536
-0.5052,0.2574
-0.5016,0.2496
-0.4975,0.2496
-0.4927,0.2435
-0.5054,0.2549
-0.4965,0.2461
-0.5033,0.2519
-0.4996,0.2553
-0.4952,0.2486
-0.5078,0.2571
-0.4977,0.2557
-0.5047,0.2505
-0.5108,0.2538
-0.5084,0.249
-0.4993,0.2548
-0.5083,0.2536
-0.4974,0.2522
-0.4997,0.2551
-0.4999,0.2491
-0.499,0.2543
-0.5017,0.2524
-0.508,0.252
-0.5092,0.2521
-0.5004,0.2509
-0.5022,0.248
-0.4999,0.244
-0.5033,0.25
-0.4981,0.2496
-0.5039,0.2547
-0.5002,0.2503
-0.502,0.248
-0.4938,0.2451
-0.5053,0.2492
-0.4945,0.2525
-0.5016,0.254
-0.5007,0.2505
-0.4984,0.2462
-0.5093,0.2525
-0.5043,0.2511
-0.5016,0.2479
-0.5055,0.2508
-0.5056,0.2545
-0.5051,0.2559
-0.4931,0.2449
-0.5002,0.2466
-0.4884,0.2434
-0.4968,0.2436
-0.4965,0.2496
-0.4978,0.2472
-0.4922,0.2464
-0.5033,0.2542
-0.5045,0.2488
-0.5036,0.2526
-0.5024,0.252
-0.5056,0.25
-0.4998,0.2494
-0.5054,0.2518
-0.5003,0.254
-0.5033,0.2564
-0.496,0.2491
-0.4998,0.248
-0.4985,0.2485
-0.5027,0.2509
-0.5019,0.2535
-0.4962,0.2469
-0.514,0.2579
-0.5075,0.2603
-0.502,0.2572
-0.5016,0.2447
-0.5029,0.2457
-0.4945,0.2422
-0.5024,0.256
-0.4966,0.2496
-0.5066,0.251
-0.4993,0.253
-0.5056,0.2519
-0.4978,0.2443
-0.4945,0.2518
-0.4969,0.2459
-0.4882,0.2442
-0.5054,0.2542
-0.4968,0.248
-0.4989,0.2469
-0.5043,0.2488
-0.5091,0.2521
-0.496,0.2431
