f0,protected
0.496,0.2472
0.4929,0.2473
0.4965,0.2453
0.4923,0.2512
0.5076,0.2521
0.4998,0.2501
0.5047,0.2503
0.5017,0.257
0.5028,0.2438
0.4941,0.2536
0.4993,0.2497
0.488,0.2475
0.4939,0.2462
0.491,0.2432
0.5033,0.2535
0.508,0.2571
0.4983,0.2488
0.5038,0.2589
0.4976,0.2446
0.5051,0.2575
0.4953,0.2476
0.4979,0.2465
0.4981,0.2434
0.4989,0.2503
0.5065,0.2548
0.4889,0.2445
0.5019,0.2589
0.5062,0.2532
0.4981,0.2471
0.4976,0.2461
0.4956,0.2429
0.4918,0.2485
0.4989,0.2531
0.5062,0.2471
0.5012,0.2519
0.5039,0.2524
0.5068,0.254
0.4915,0.245
0.5028,0.2498
0.5085,0.2568
0.5067,0.2516
0.5096,0.2526
0.4999,0.2476
0.4992,0.2501
0.5002,0.2489
0.4956,0.2469
0.5117,0.2532
0.4993,0.2471
0.507,0.257
0.4956,0.2457
0.5,0.2491
0.4922,0.2474
0.5007,0.2495
0.5059,0.2533
0.5027,0.257
0.5109,0.2583
0.5044,0.2489
0.5045,0.2459
0.5023,0.2478
0.5024,0.2504
0.5019,0.251
0.5178,0.256
0.4975,0.2504
0.4946,0.249
0.4978,0.2509
0.5036,0.2608
0.4961,0.2439
0.4937,0.2405
0.498,0.2549
0.4927,0.2459
0.4953,0.2425
0.4923,0.244
0.5043,0.252
0.5024,0.2529
0.501,0.2532
0.4982,0.2511
0.5022,0.2515
0.4982,0.2511
0.5016,0.2528
0.4999,0.2472
0.4907,0.2363
0.5062,0.2567
0.4987,0.2484
0.4963,0.2508
0.4969,0.246
0.4964,0.2494
0.4959,0.249
0.4958,0.2445
0.5032,0.2565
0.5029,0.2514
0.4979,0.2523
0.4956,0.2372
0.5043,0.2479
0.501,0.248
0.5047,0.2565
0.4951,0.2426
0.4938,0.247
0.4923,0.2403
0.4953,0.2428
0.491,0.2445
