f0,f1,f2,protected
0.0,0.0629,0.0629,0.0
0.0,0.0638,0.1268,0.1268
0.0,0.0,0.0,0.0
0.0,0.0,0.0602,0.0
0.0,0.059,0.0,0.1188
0.0,0.0,0.0,0.0
-0.4926,0.3707,-0.5053,0.3728
0.0,0.1251,0.1899,0.1298
0.0,0.0,0.0,0.0611
0.0,0.0,0.0,0.0
0.0,0.0,0.061,0.061
-0.5002,-0.4999,-0.4388,0.3655
0.0,0.0611,0.0611,0.0
-0.5065,0.3795,-0.5102,-0.4429
0.0,0.0,0.0633,0.0
0.0,0.0,0.0,0.0582
0.0,0.0622,0.0622,0.0622
0.0,0.1185,0.0626,0.0
0.0,0.1884,0.1281,0.1257
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5024,0.3791,-0.3825,-0.4996
-0.5014,-0.3744,-0.433,0.3144
0.0,0.129,0.1267,0.2568
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0642
0.0,0.0,0.0,0.0
0.0,0.119,-0.0601,0.1824
0.0,0.0,0.0647,0.0647
0.0,0.0,0.0,0.0
-0.4911,-0.497,-0.4295,-0.5064
-0.5023,-0.5045,-0.4988,0.4338
-0.5034,0.3798,-0.5079,-0.3722
0.0,0.0649,0.0,0.1249
0.0,0.0625,0.0,0.1278
-0.4951,-0.5046,0.3817,0.3707
0.0,0.0,0.0,0.0
0.0,0.1236,0.1251,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1905,0.2508,0.1943
-0.5077,-0.447,-0.4988,-0.4382
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0622
0.0,0.0595,0.0,0.0
-0.4952,-0.4996,0.375,-0.3832
0.0,0.0,0.0,0.0
0.0,0.1925,-0.0659,0.1272
0.0,0.0638,0.0,0.0
0.0,0.0,0.1211,0.0585
0.0,0.0,0.0,0.0
0.0,0.184,-0.0611,0.1224
0.0,0.0,0.1247,0.0653
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0598,0.1207,0.1207
0.0,0.1293,0.1296,0.2555
0.0,0.0,0.0,0.0
-0.504,-0.4936,-0.499,-0.5005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5078,-0.4442,0.3139,-0.4456
0.0,-0.0653,0.1874,0.1266
0.0,0.1248,0.0,0.0617
-0.501,-0.428,-0.486,0.3727
0.0,0.12,0.122,0.181
-0.5069,0.3758,-0.4967,0.3753
-0.5055,-0.5022,-0.499,-0.492
0.0,0.2515,0.2522,0.1874
0.0,-0.1188,0.1878,0.2421
0.0,0.062,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.4988,-0.4349,-0.4312,-0.5004
0.0,0.0624,0.0624,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0625
-0.5066,-0.3166,-0.3768,0.2544
0.0,0.1257,0.1308,0.2544
0.0,0.0,0.0,0.0
0.0,0.1233,0.0606,0.0
-0.4953,-0.434,-0.4427,0.3048
-0.5057,-0.4317,0.3124,0.3141
0.0,0.1888,0.1853,0.2443
0.0,0.1276,0.0,-0.0649
-0.5038,-0.4375,-0.4341,0.3119
-0.4993,-0.2461,-0.2419,0.2518
0.0,0.0,0.0616,0.1267
-0.51,-0.3155,-0.3224,0.2552
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1232,0.0619,0.0
0.0,0.0,0.0621,0.0621
0.0,0.0,0.0,0.0
0.0,0.127,0.0654,0.127
