f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,protected
0.0,-0.0973,0.1232,-0.1028,0.1343,-0.1039,-0.0978,-0.1122,0.17,-0.0827,0.1293,-0.0661,0.1477,0.1188,0.1434,0.1298
0.0,0.1547,-0.1149,0.2105,-0.1368,0.1454,0.1748,-0.1202,-0.1174,0.1442,0.1455,-0.1169,-0.103,0.1345,-0.1331,0.1412
0.0,0.1269,-0.105,-0.1105,0.1628,0.1238,0.1238,-0.1047,-0.1018,-0.1056,0.1614,0.1108,-0.0845,-0.1055,-0.0687,-0.0805
-0.4974,-0.3032,0.272,0.3057,-0.3163,-0.3053,0.2992,0.2734,0.2958,0.3024,0.2978,-0.3273,-0.3433,-0.3247,-0.308,0.2775
0.0,-0.1114,0.1386,0.1302,0.1147,0.12,0.1485,0.118,-0.0539,0.1616,0.129,0.1322,-0.1055,-0.102,0.1311,-0.0771
0.0,0.0324,-0.0012,-0.0105,0.0351,-0.017,-0.0091,-0.0163,-0.0136,0.0269,-0.0138,0.0243,0.0213,0.0279,-0.012,-0.0077
-0.498,0.3435,0.3157,-0.3604,-0.3539,-0.3835,0.3125,-0.3511,-0.3626,-0.3485,0.3117,-0.3614,0.3041,-0.3597,-0.3478,0.3137
0.0,0.1376,0.1483,-0.1283,0.1376,-0.0571,-0.0932,0.1518,-0.096,0.1371,0.1403,0.128,0.1489,0.1521,0.1455,0.1645
-0.5147,-0.3986,0.3797,0.3502,0.3558,-0.4221,0.3576,-0.4137,0.3651,-0.3949,-0.3974,0.3767,0.3734,-0.382,0.3206,-0.4112
0.0,-0.0594,0.1135,0.0918,-0.0478,-0.059,0.0756,-0.0311,0.0932,0.0995,-0.0516,0.0869,-0.0733,0.0894,0.087,-0.0456
0.0,0.1718,-0.1453,0.1898,0.1878,-0.1499,-0.1474,0.1602,0.1551,0.1508,0.1871,0.2022,-0.1258,-0.1241,-0.1498,-0.1377
0.0,-0.0305,-0.0219,-0.0305,0.0676,-0.0355,-0.0314,0.0452,0.0362,-0.0314,0.0532,0.0585,-0.0071,0.0387,-0.0303,0.0576
-0.4952,-0.4028,0.3868,0.3902,0.3856,-0.4574,-0.4283,0.3853,-0.4122,-0.438,-0.4059,0.3806,-0.4225,0.3737,-0.4222,-0.396
-0.5029,0.436,0.4152,0.445,0.435,0.4347,-0.4716,-0.454,-0.4955,0.4299,0.4478,-0.4738,-0.4538,0.4448,0.4449,-0.46
0.0,-0.1393,0.1807,0.1766,-0.1456,0.1838,0.2025,0.1684,0.1783,0.1886,-0.1496,-0.1373,0.1933,0.1735,-0.1377,0.1997
-0.4891,0.4708,-0.4896,-0.5017,-0.492,-0.4692,0.4568,-0.4766,0.4605,-0.4796,0.4597,0.4754,-0.4807,-0.4935,-0.4784,0.4754
-0.499,-0.4455,-0.47,-0.4183,-0.4405,-0.4182,-0.42,-0.4202,0.4073,0.3857,0.4027,0.3794,0.4182,0.3987,-0.4569,-0.4155
0.0,0.1529,-0.1127,-0.1231,-0.0907,0.1508,-0.1222,0.1895,0.1438,-0.1166,0.1697,-0.122,0.1468,-0.111,0.1416,-0.1108
0.0,0.1921,0.1533,-0.1224,-0.1287,-0.1231,0.1465,-0.1231,0.1832,0.1506,-0.12,-0.1034,-0.1332,-0.1127,0.1602,0.1708
-0.5056,0.3745,-0.4049,0.4087,0.383,0.4048,0.4018,-0.4035,-0.4357,-0.4267,-0.4391,-0.4526,0.387,-0.4219,-0.4281,-0.444
0.0,0.088,-0.0849,-0.0795,0.1206,0.1198,-0.069,0.1302,0.1109,-0.0554,-0.0809,-0.0621,0.1294,0.0964,-0.0767,-0.0779
0.0,0.1468,0.1243,0.1126,0.1233,-0.0705,0.1067,-0.0736,-0.1052,0.1163,-0.0905,0.1494,0.1421,-0.0941,-0.0734,-0.0766
0.0,-0.0133,-0.002,0.0208,-0.0004,0.0184,0.0129,-0.001,-0.0095,-0.007,0.0136,-0.0071,0.0204,-0.0082,0.0153,0.0153
0.0,-0.0049,0.0194,-0.0059,-0.0045,0.013,-0.0002,0.0205,0.0141,-0.0054,0.0108,-0.0051,0.0112,-0.0064,-0.0078,0.0123
0.0,0.0339,-0.0286,-0.0148,-0.026,0.0427,0.0372,0.0321,0.0355,0.0404,-0.0171,-0.0036,-0.0022,0.0348,-0.0254,0.0388
-0.4998,0.4146,-0.444,-0.453,0.4345,0.4235,-0.4603,-0.4574,-0.4883,-0.4358,-0.4648,0.4357,-0.4627,0.4174,-0.4409,0.4185
0.0,-0.0739,-0.0664,-0.0701,0.0983,-0.0359,0.0917,-0.0555,0.0766,-0.066,-0.0694,0.0978,0.0879,-0.0459,-0.042,0.1218
-0.4989,0.4022,-0.4239,-0.4164,-0.4605,0.3753,0.3997,-0.4672,0.406,-0.4044,-0.4216,-0.4072,0.3866,-0.4363,0.3913,-0.4123
0.0,-0.0091,-0.0274,0.0341,0.0361,0.0307,-0.0104,0.038,-0.0039,-0.0237,-0.0271,0.0451,-0.0212,0.0334,0.05,-0.0249
0.0,-0.1436,-0.1485,0.1958,0.1509,-0.1249,0.1646,0.1547,0.1778,0.157,-0.1435,-0.1135,-0.1369,0.1888,-0.1293,0.1886
0.0,-0.1163,0.1428,-0.1111,0.1378,0.1655,0.1289,-0.1011,0.1575,0.1479,0.1599,-0.1005,-0.0752,-0.1138,0.1171,-0.0997
-0.4903,-0.3998,-0.4235,-0.4262,-0.3951,-0.4135,0.3752,-0.3874,0.3616,-0.4182,0.3479,-0.412,0.3419,-0.3845,-0.3923,-0.3829
0.0,-0.0185,0.0674,-0.0334,0.0421,-0.0251,-0.0219,0.0588,-0.0379,0.0561,0.0629,-0.0333,-0.031,0.059,-0.0246,-0.0269
0.0,-0.0992,-0.0956,0.1062,0.1051,0.0996,0.1526,0.1012,0.1003,0.0991,0.1064,-0.0304,0.1177,0.0991,0.1413,-0.0739
0.0,0.0709,0.0703,-0.0332,-0.0255,-0.0234,0.061,0.0773,-0.0459,-0.0339,-0.0275,-0.0212,0.0546,-0.0441,0.0603,0.0627
-0.4987,0.3827,-0.4464,0.3249,0.3637,0.3837,-0.3991,-0.3931,-0.4129,-0.403,-0.3973,0.3616,0.3606,0.3762,-0.4099,0.3592
0.0,-0.0016,0.022,-0.0139,0.0286,0.0269,0.0367,0.0332,-0.007,0.0348,0.023,-0.0154,-0.0155,-0.0219,-0.0106,-0.0188
0.0,-0.0793,0.0889,-0.0759,0.109,0.0896,-0.0475,-0.0739,0.0834,0.1089,-0.078,-0.0435,0.0779,-0.0315,0.0774,0.1178
-0.494,-0.371,-0.3529,0.3258,0.2932,0.3125,-0.3757,-0.348,0.3239,0.3304,-0.3629,-0.3895,0.3278,0.3283,-0.3731,-0.3541
0.0,-0.0771,-0.0798,-0.0787,-0.0841,0.0956,-0.0879,-0.0815,0.1263,-0.0905,-0.0797,-0.0821,0.0954,-0.0849,0.0921,0.1811
0.0,-0.0348,0.0725,0.0638,-0.0382,0.0784,0.1191,-0.0608,0.0737,-0.0467,-0.0515,0.0803,-0.0327,-0.0511,0.0735,0.0708
0.0,-0.0886,-0.07,-0.0746,0.1061,0.1227,0.1411,-0.0738,-0.0657,0.1069,0.1406,0.1087,-0.0763,0.1386,-0.096,-0.0868
0.0,0.0853,0.1231,0.0808,-0.0652,0.0882,-0.0504,-0.0671,-0.0428,-0.0592,0.1187,-0.0655,0.0839,-0.058,-0.0706,-0.0541
0.0,-0.0375,0.0738,0.0629,-0.0176,-0.0472,-0.0476,0.0554,0.0558,-0.0487,-0.0426,-0.0444,0.104,0.0613,0.074,-0.0436
0.0,-0.0126,0.0292,-0.0073,0.0306,-0.0073,-0.0149,-0.0184,-0.0102,0.0271,0.0289,0.0243,0.0315,-0.0107,-0.0073,-0.0106
0.0,0.0839,-0.0618,0.0849,-0.0414,-0.0367,0.0827,0.0853,0.0931,0.0775,0.1025,-0.0585,0.0803,0.1069,-0.0496,-0.0413
0.0,0.1771,0.1246,0.169,-0.1242,-0.1069,0.1489,0.1593,-0.1191,-0.0804,0.1532,0.144,0.1292,-0.1128,0.1476,-0.1223
-0.5001,-0.4136,-0.4134,-0.4396,0.3509,-0.4445,0.4032,-0.4235,0.3765,-0.4208,0.3785,-0.4389,-0.4074,0.3634,-0.428,-0.4093
0.0,-0.031,0.0685,0.1098,0.0828,0.0699,-0.0376,-0.0443,-0.0534,0.0793,0.0896,-0.0503,0.0794,0.0847,-0.0491,0.0775
0.0,0.1109,0.0934,-0.0719,0.112,-0.0805,-0.0539,0.106,0.1154,0.0937,0.1388,-0.07,0.1019,-0.07,0.1143,-0.0706
0.0,0.0747,-0.0201,0.0804,-0.0346,0.0884,-0.0615,0.0619,0.0605,-0.0513,0.069,-0.0491,0.1041,0.0703,-0.036,-0.0532
0.0,0.1814,0.1976,0.1863,-0.1347,0.1787,-0.1106,0.181,-0.1597,0.1693,0.1794,0.1707,-0.1334,-0.1367,-0.1557,0.1826
