f0,protected
0.4982,0.2503
0.4902,0.2477
0.5019,0.2548
0.4979,0.2484
0.4957,0.2467
0.491,0.2492
0.5023,0.2601
0.5062,0.2439
0.4982,0.246
0.5015,0.2491
0.5106,0.252
0.5097,0.2532
0.4998,0.2468
0.4999,0.2503
0.4989,0.2542
0.4956,0.2506
0.5094,0.2526
0.4941,0.2475
0.4991,0.2457
0.4961,0.2484
0.4975,0.2446
0.5047,0.2518
0.5026,0.2531
0.4996,0.251
0.4945,0.2454
0.4912,0.2465
0.5004,0.2498
0.499,0.2461
0.4935,0.2463
0.4967,0.2523
0.4921,0.247
0.5064,0.2506
0.5091,0.2548
0.5065,0.2539
0.5111,0.2519
0.5009,0.2549
0.5049,0.2453
0.5038,0.25
0.5039,0.2507
0.4984,0.25
0.5005,0.2467
0.4988,0.251
0.5008,0.2468
0.502,0.2492
0.4963,0.2508
0.5067,0.2594
0.5001,0.249
0.4932,0.2415
0.4944,0.2491
0.5073,0.2549
0.4996,0.2546
0.4989,0.2494
0.5003,0.2533
0.4985,0.2508
0.4934,0.2457
0.5042,0.2506
0.4894,0.2477
0.5038,0.2478
0.5066,0.2516
0.5067,0.2558
0.495,0.2469
0.4959,0.2489
0.4837,0.2401
0.5005,0.2481
0.5018,0.2478
0.4981,0.2513
0.4981,0.253
0.5082,0.2598
0.5111,0.26
0.5029,0.261
0.5023,0.251
0.5072,0.2535
0.4938,0.2445
0.494,0.2487
0.5028,0.2512
0.5016,0.2547
0.502,0.2511
0.5062,0.2486
0.5047,0.2499
0.5058,0.2515
0.4976,0.2466
0.5027,0.2564
0.5043,0.2543
0.5099,0.2568
0.502,0.2546
0.5007,0.2473
0.5043,0.2509
0.4929,0.2485
0.498,0.2445
0.4951,0.2401
0.5084,0.2549
0.5,0.2501
0.493,0.2431
0.5051,0.2521
0.4971,0.2502
0.5012,0.2503
0.4995,0.2439
0.4963,0.2496
0.4958,0.2417
0.5049,0.256
