f0,protected
-0.5006,0.2521
-0.4979,0.2504
-0.5105,0.2598
-0.5078,0.2547
-0.4995,0.2508
-0.5012,0.2545
-0.4911,0.2451
-0.5011,0.2516
-0.5078,0.2526
-0.5015,0.2448
-0.5021,0.2504
-0.4966,0.252
-0.4948,0.2446
-0.5056,0.2554
-0.4881,0.2426
-0.4919,0.2437
-0.5101,0.2505
-0.5073,0.26
-0.5028,0.2518
-0.5024,0.2523
-0.4943,0.249
-0.4933,0.2418
-0.5084,0.2573
-0.492,0.2451
-0.4984,0.2469
-0.5021,0.2444
-0.5022,0.2559
-0.509,0.2558
-0.5009,0.2499
-0.5013,0.2454
-0.4991,0.2479
-0.4944,0.245
-0.5063,0.2585
-0.4978,0.2451
-0.5009,0.25
-0.5086,0.2542
-0.5066,0.2591
-0.4961,0.2491
-0.4993,0.2499
-0.5033,0.2498
-0.5054,0.2457
-0.4968,0.2451
-0.5084,0.2524
-0.5023,0.2509
-0.504,0.2505
-0.4999,0.2484
-0.4996,0.2489
-0.5035,0.2534
-0.5019,0.251
-0.5058,0.2539
-0.5035,0.2492
-0.5026,0.2496
-0.5047,0.2561
-0.4923,0.247
-0.4934,0.2462
-0.5022,0.2541
-0.5055,0.2544
-0.5032,0.2488
-0.4923,0.2441
-0.4942,0.2475
-0.5,0.2495
-0.4957,0.2475
-0.4994,0.2509
-0.4966,0.2522
-0.506,0.2549
-0.5003,0.2432
-0.4955,0.2439
-0.4983,0.2534
-0.4982,0.2527
-0.5079,0.2498
-0.5039,0.2476
-0.4909,0.2461
-0.4987,0.2447
-0.495,0.244
-0.5001,0.2489
-0.5008,0.2504
-0.4978,0.2491
-0.5065,0.2514
-0.5005,0.2496
-0.4981,0.2496
-0.5019,0.2544
-0.4951,0.2518
-0.5039,0.2517
-0.5014,0.2531
-0.4927,0.2508
-0.5057,0.2527
-0.4929,0.2436
-0.501,0.2413
-0.5078,0.2536
-0.5008,0.2498
-0.4995,0.2519
-0.5028,0.2532
-0.5016,0.2528
-0.4994,0.2481
-0.4861,0.2428
-0.4977,0.2491
-0.493,0.2453
-0.4906,0.2443
-0.5007,0.2583
-0.4987,0.244
