f0,protected
-0.5008,0.246
-0.5086,0.2548
-0.5001,0.2478
-0.4969,0.2496
-0.4988,0.2453
-0.5002,0.2522
-0.4969,0.2492
-0.5019,0.2464
-0.498,0.2486
-0.5002,0.2435
-0.5043,0.2521
-0.496,0.2453
-0.4972,0.2512
-0.4794,0.2412
-0.5039,0.2485
-0.4972,0.2472
-0.5031,0.2566
-0.5022,0.2491
-0.5068,0.2536
-0.5035,0.254
-0.5035,0.249
-0.4985,0.2514
-0.4925,0.2421
-0.5003,0.2448
-0.5035,0.2479
-0.4954,0.2513
-0.5037,0.2589
-0.4988,0.2461
-0.5003,0.2466
-0.5037,0.2514
-0.4946,0.2437
-0.5006,0.2569
-0.5028,0.2523
-0.5026,0.2549
-0.5031,0.2514
-0.5031,0.2494
-0.5003,0.2498
-0.5049,0.2449
-0.5067,0.2503
-0.4953,0.248
-0.4961,0.249
-0.4988,0.25
-0.5009,0.2561
-0.5029,0.248
-0.5041,0.2486
-0.5084,0.2477
-0.5001,0.2438
-0.4886,0.243
-0.5002,0.2442
-0.5126,0.2521
-0.4971,0.252
-0.5005,0.2563
-0.5053,0.2503
-0.4982,0.2509
-0.5066,0.2538
-0.5006,0.2534
-0.4954,0.2436
-0.5148,0.2502
-0.5124,0.2579
-0.5039,0.2499
-0.5008,0.2533
-0.4966,0.2458
-0.5005,0.2452
-0.4932,0.2456
-0.4995,0.2478
-0.4958,0.2502
-0.4991,0.2543
-0.4933,0.2481
-0.4939,0.245
-0.4997,0.2519
-0.4939,0.2469
-0.496,0.2473
-0.4979,0.2484
-0.5026,0.2501
-0.5064,0.2505
-0.5063,0.2507
-0.4964,0.2557
-0.4934,0.2476
-0.5085,0.2564
-0.497,0.244
-0.4968,0.2543
-0.4983,0.2525
-0.4933,0.2511
-0.4911,0.2439
-0.4969,0.2485
-0.5016,0.2503
-0.5039,0.2545
-0.5059,0.2521
-0.5001,0.2495
-0.5012,0.25
-0.4991,0.2484
-0.4928,0.245
-0.4973,0.2492
-0.4952,0.2473
-0.4937,0.2454
-0.5004,0.2562
-0.4926,0.2466
-0.4921,0.2501
-0.5,0.2523
-0.4981,0.2507
