f0,protected
0.4921,0.2464
0.5059,0.2505
0.5075,0.2515
0.5019,0.249
0.5029,0.255
0.5009,0.2471
0.4989,0.2499
0.4993,0.2529
0.5071,0.2488
0.4972,0.2446
0.4967,0.2496
0.4996,0.2449
0.4936,0.2502
0.496,0.2475
0.4935,0.2504
0.4938,0.2428
0.4995,0.2532
0.5041,0.257
0.4947,0.2476
0.5023,0.2479
0.4976,0.2473
0.5008,0.2501
0.5021,0.2535
0.5009,0.2499
0.5009,0.2506
0.4912,0.2464
0.4946,0.2476
0.491,0.2432
0.5107,0.2612
0.5034,0.2503
0.4948,0.2471
0.5,0.2526
0.5106,0.2565
0.5128,0.2598
0.4971,0.2553
0.502,0.2562
0.5068,0.2544
0.5007,0.257
0.5004,0.2523
0.4925,0.2451
0.4975,0.2449
0.5046,0.2501
0.497,0.2435
0.5027,0.2475
0.5004,0.246
0.4954,0.2516
0.4969,0.2429
0.5038,0.2505
0.4956,0.2462
0.4977,0.2517
0.5049,0.2491
0.4974,0.2451
0.4912,0.2467
0.4941,0.2456
0.4952,0.2509
0.5085,0.2495
0.4996,0.2501
0.5084,0.2552
0.4993,0.2495
0.4884,0.2461
0.5043,0.2501
0.4975,0.2521
0.492,0.2402
0.5029,0.2508
0.5061,0.2504
0.5012,0.2515
0.4977,0.2471
0.4996,0.2466
0.4979,0.2495
0.4922,0.2451
0.4961,0.2519
0.5026,0.2529
0.5013,0.2458
0.49,0.2419
0.4942,0.2436
0.4997,0.2482
0.5,0.2538
0.4926,0.2461
0.5018,0.254
0.5053,0.251
0.5044,0.2542
0.5002,0.2498
0.4998,0.2538
0.4966,0.2524
0.5002,0.251
0.5009,0.2537
0.5057,0.2504
0.4928,0.2448
0.4963,0.25
0.4978,0.2501
0.5013,0.2581
0.4961,0.2414
0.5023,0.2487
0.4949,0.2505
0.5,0.2571
0.4992,0.2416
0.5019,0.2524
0.5108,0.253
0.4984,0.2499
0.5018,0.2524
