f0,protected
-0.2505,0.0
-0.25,0.0
-0.2612,0.0
-0.5046,0.2549
-0.2564,0.0
-0.2497,0.0
-0.2551,0.0
-0.2525,0.0
-0.5007,0.2448
-0.2535,0.0
-0.2474,0.0
-0.2536,0.0
-0.2513,0.0
-0.2486,0.0
-0.2414,0.0
-0.249,0.0
-0.253,0.0
-0.2503,0.0
-0.2573,0.0
-0.2492,0.0
-0.244,0.0
-0.2494,0.0
-0.2531,0.0
-0.5067,0.2511
-0.2512,0.0
-0.2456,0.0
-0.2534,0.0
-0.5003,0.2581
-0.2516,0.0
-0.2512,0.0
-0.2547,0.0
-0.2503,0.0
-0.2531,0.0
-0.2492,0.0
-0.2475,0.0
-0.2532,0.0
-0.2512,0.0
-0.246,0.0
-0.2544,0.0
-0.2468,0.0
-0.2464,0.0
-0.2538,0.0
-0.2462,0.0
-0.2543,0.0
-0.2424,0.0
-0.2488,0.0
-0.2462,0.0
-0.4996,0.251
-0.254,0.0
-0.2444,0.0
-0.2489,0.0
-0.255,0.0
-0.2518,0.0
-0.2498,0.0
-0.2521,0.0
-0.2528,0.0
-0.2413,0.0
-0.2498,0.0
-0.2475,0.0
-0.4929,0.2468
-0.2423,0.0
-0.2514,0.0
-0.2518,0.0
-0.252,0.0
-0.2477,0.0
-0.2465,0.0
-0.2461,0.0
-0.2536,0.0
-0.245,0.0
-0.492,0.256
-0.2424,0.0
-0.246,0.0
-0.2465,0.0
-0.2562,0.0
-0.2536,0.0
-0.2549,0.0
-0.2522,0.0
-0.2541,0.0
-0.2544,0.0
-0.243,0.0
-0.246,0.0
-0.251,0.0
-0.2562,0.0
-0.2434,0.0
-0.249,0.0
-0.2508,0.0
-0.2475,0.0
-0.2629,0.0
-0.2529,0.0
-0.2485,0.0
-0.2521,0.0
-0.2532,0.0
-0.5048,0.2519
-0.25,0.0
-0.2458,0.0
-0.2563,0.0
-0.2589,0.0
-0.2441,0.0
-0.2509,0.0
-0.2475,0.0
