f0,protected
-0.5038,0.2535
-0.5038,0.2494
-0.4957,0.2527
-0.4979,0.2533
-0.504,0.2513
-0.4987,0.2483
-0.5049,0.2483
-0.5022,0.2563
-0.4953,0.247
-0.5039,0.2579
-0.5042,0.2503
-0.4943,0.2483
-0.4907,0.2481
-0.4933,0.2395
-0.4918,0.2438
-0.4938,0.2424
-0.5068,0.2581
-0.5003,0.2472
-0.5012,0.247
-0.4997,0.2466
-0.4979,0.248
-0.5026,0.2529
-0.4911,0.2435
-0.5038,0.2528
-0.5031,0.2524
-0.497,0.2525
-0.5018,0.2453
-0.5091,0.2576
-0.5055,0.2466
-0.4981,0.2477
-0.4999,0.2424
-0.5005,0.2493
-0.4957,0.251
-0.5021,0.2483
-0.5026,0.2453
-0.4943,0.2477
-0.5049,0.2558
-0.5015,0.2453
-0.5009,0.2454
-0.5062,0.252
-0.4968,0.2497
-0.5048,0.2513
-0.5044,0.2557
-0.499,0.2484
-0.4934,0.2452
-0.5049,0.2555
-0.5025,0.2586
-0.5047,0.2548
-0.5055,0.2548
-0.5032,0.249
-0.4984,0.2559
-0.4992,0.2508
-0.4901,0.2478
-0.508,0.2542
-0.5013,0.2492
-0.5071,0.2473
-0.4932,0.2486
-0.4923,0.2452
-0.5008,0.2524
-0.4998,0.2497
-0.4951,0.2407
-0.5072,0.2557
-0.4962,0.2439
-0.4985,0.249
-0.4933,0.2493
-0.499,0.2455
-0.4943,0.2518
-0.4965,0.2517
-0.5091,0.251
-0.5012,0.2472
-0.5012,0.2478
-0.5028,0.257
-0.4995,0.2441
-0.5045,0.2473
-0.4945,0.2404
-0.4967,0.2503
-0.5048,0.2483
-0.5045,0.2541
-0.4978,0.2548
-0.4927,0.2478
-0.5075,0.2597
-0.4968,0.2471
-0.501,0.2517
-0.495,0.2481
-0.4966,0.2478
-0.4965,0.2443
-0.4912,0.2469
-0.4969,0.2527
-0.4958,0.2497
-0.4995,0.2543
-0.4946,0.2504
-0.503,0.2493
-0.5032,0.2459
-0.5018,0.2513
-0.4942,0.246
-0.5045,0.257
-0.5074,0.2567
-0.4932,0.2398
-0.4997,0.2567
-0.5037,0.2486
