f0,protected
0.4969,0.2482
0.5015,0.2407
0.5021,0.2508
0.4983,0.2499
0.5001,0.2528
0.4931,0.2464
0.5009,0.2525
0.5004,0.252
0.4994,0.2527
0.4982,0.25
0.4978,0.2523
0.4998,0.2518
0.5101,0.2518
0.4914,0.2384
0.5089,0.2555
0.5069,0.2511
0.4993,0.2524
0.4982,0.2424
0.4948,0.2553
0.4939,0.2494
0.5045,0.2489
0.498,0.2485
0.4981,0.2486
0.4986,0.246
0.4947,0.2505
0.5011,0.2542
0.5023,0.2516
0.5014,0.2509
0.498,0.2473
0.5057,0.2497
0.5001,0.2511
0.4951,0.248
0.4975,0.2462
0.5078,0.2559
0.5,0.2548
0.5073,0.2594
0.503,0.2505
0.5057,0.2523
0.5076,0.2582
0.4987,0.2535
0.4975,0.2471
0.4963,0.2478
0.5035,0.2455
0.504,0.2582
0.5023,0.2501
0.5072,0.254
0.504,0.252
0.493,0.2435
0.4935,0.24
0.509,0.2573
0.5065,0.254
0.5062,0.2573
0.5012,0.2473
0.5012,0.2462
0.5009,0.2452
0.5034,0.2485
0.5066,0.2516
0.5043,0.251
0.4945,0.2461
0.5027,0.2535
0.4921,0.2438
0.4919,0.2466
0.5045,0.2465
0.5048,0.2581
0.4942,0.2472
0.5142,0.2551
0.5,0.2528
0.4986,0.246
0.4946,0.2501
0.5141,0.256
0.5053,0.2581
0.4974,0.2441
0.5045,0.249
0.4989,0.2511
0.4972,0.2515
0.4932,0.2495
0.4952,0.2508
0.5019,0.2424
0.5084,0.2516
0.4945,0.2477
0.5003,0.2499
0.5008,0.2524
0.4917,0.2379
0.5014,0.2478
0.4973,0.2486
0.4969,0.2465
0.4994,0.2452
0.5014,0.2459
0.5071,0.2576
0.5054,0.2523
0.4962,0.2513
0.4981,0.2477
0.4975,0.2493
0.4954,0.2384
0.4968,0.2486
0.4995,0.2489
0.5095,0.2467
0.506,0.2578
0.4998,0.2479
0.5064,0.2573
